split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
5,1,3.2936086648803156,0.5253268892135926,0.2794348508634223,2.6452588084565583,0.5029761904761905,0.0,0.0,0.0,0.41796875,0.7181208053691275,0.0,1.0,0.0,0.7181208053691275,0.5,"[0.7181208053691275, 0.0]","[1.0, 0.0]","[0.8359375, 0.0]","[1.0, 0.0]"
5,2,3.2856516223117493,0.4966399978201709,0.27722772277227725,2.2656608717516065,0.5337672452158434,0.001882142164634169,0.001855096361949804,0.3157894736842105,0.49779621467461754,0.5637583892617449,0.35714285714285715,0.6448598130841121,0.2830188679245283,0.71875,0.5010013351134847,"[0.71875, 0.2830188679245283]","[0.6448598130841121, 0.35714285714285715]","[0.6798029556650246, 0.3157894736842105]","[0.6448598130841121, 0.35714285714285715]"
5,3,3.221266780195243,0.5060456197356277,0.3220779220779221,5.331721000225659,0.6477525589675124,0.1975567627822769,0.13519972686923876,0.48484848484848486,0.4865713996148779,0.4865771812080537,0.8571428571428571,0.3411214953271028,0.3380281690140845,0.8588235294117647,0.5991321762349799,"[0.8588235294117647, 0.3380281690140845]","[0.3411214953271028, 0.8571428571428571]","[0.4882943143812709, 0.48484848484848486]","[0.3411214953271028, 0.8571428571428571]"
5,4,2.863293854378083,0.5231760109808891,0.3205298013245033,14.138086866191276,0.36799065420560745,-0.14381415479373086,-0.13388365793886248,0.09230769230769231,0.4195444040937603,0.6040268456375839,0.07142857142857142,0.8130841121495327,0.13043478260869565,0.6904761904761905,0.44225634178905204,"[0.6904761904761905, 0.13043478260869565]","[0.8130841121495327, 0.07142857142857142]","[0.7467811158798283, 0.09230769230769231]","[0.8130841121495327, 0.07142857142857142]"
5,5,3.0905866721369577,0.4999693461534532,0.32947232947232946,5.425131208422723,0.6393246550956831,0.21122816791034812,0.1401483924154988,0.4900662251655629,0.4831283506780195,0.48322147651006714,0.8809523809523809,0.32710280373831774,0.3394495412844037,0.875,0.6040275923453493,"[0.875, 0.3394495412844037]","[0.32710280373831774, 0.8809523809523809]","[0.47619047619047616, 0.4900662251655629]","[0.32710280373831774, 0.8809523809523809]"
5,6,3.0948894769143718,0.5019363013068756,0.3333333333333333,3.323825455839502,0.5873943035157988,-0.1283335957441176,-0.07581227436823101,0.0,0.404,0.6778523489932886,0.0,0.9439252336448598,0.0,0.7062937062937062,0.4719626168224299,"[0.7062937062937062, 0.0]","[0.9439252336448598, 0.0]","[0.808, 0.0]","[0.9439252336448598, 0.0]"
5,7,2.9189126568324917,0.5259007973406085,0.334610472541507,1.4889986787566403,0.5801624388072986,-0.13910335481120314,-0.08759124087591252,0.0,0.40160642570281124,0.6711409395973155,0.0,0.9345794392523364,0.0,0.704225352112676,0.4672897196261682,"[0.704225352112676, 0.0]","[0.9345794392523364, 0.0]","[0.8032128514056225, 0.0]","[0.9345794392523364, 0.0]"
5,8,2.7551748322393967,0.5203490451326801,0.3264781491002571,0.9452117868177999,0.653871829105474,-0.0753280132039746,-0.04116664134892889,0.02127659574468085,0.4190048317368823,0.6912751677852349,0.011904761904761904,0.9579439252336449,0.1,0.7118055555555556,0.4849243435692034,"[0.7118055555555556, 0.1]","[0.9579439252336449, 0.011904761904761904]","[0.8167330677290837, 0.02127659574468085]","[0.9579439252336449, 0.011904761904761904]"
5,9,2.685898890888285,0.5350118017309206,0.34108527131782945,3.9027255859175987,0.39552736982643527,-0.1677341205673199,-0.16204506065857882,0.1,0.4118421052631579,0.5771812080536913,0.08333333333333333,0.7710280373831776,0.125,0.6818181818181818,0.4271806853582555,"[0.6818181818181818, 0.125]","[0.7710280373831776, 0.08333333333333333]","[0.7236842105263158, 0.1]","[0.7710280373831776, 0.08333333333333333]"
5,10,2.7070050679080664,0.5311613380063419,0.3368146214099217,0.7532451983991285,0.6911437472185136,0.27904935355632676,0.2094551789673741,0.5214285714285715,0.5486889692585895,0.5503355704697986,0.8690476190476191,0.4252336448598131,0.37244897959183676,0.8921568627450981,0.6471406319537161,"[0.8921568627450981, 0.37244897959183676]","[0.4252336448598131, 0.8690476190476191]","[0.5759493670886076, 0.5214285714285715]","[0.4252336448598131, 0.8690476190476191]"
5,11,2.3680654743623935,0.5607882806938668,0.3626943005181347,3.4479892528901224,0.6692812639074321,0.25146375643607516,0.215654124956852,0.5080645161290323,0.5787449017426771,0.5906040268456376,0.75,0.5280373831775701,0.38414634146341464,0.8432835820895522,0.639018691588785,"[0.8432835820895522, 0.38414634146341464]","[0.5280373831775701, 0.75]","[0.6494252873563219, 0.5080645161290323]","[0.5280373831775701, 0.75]"
5,12,2.511667245291301,0.5455788638322077,0.3647959183673469,0.8176994175593925,0.6937027147307522,0.2583809419638463,0.22002917703595637,0.512,0.579699421965318,0.5906040268456376,0.7619047619047619,0.5233644859813084,0.3855421686746988,0.8484848484848485,0.6426346239430352,"[0.8484848484848485, 0.3855421686746988]","[0.5233644859813084, 0.7619047619047619]","[0.6473988439306358, 0.512]","[0.5233644859813084, 0.7619047619047619]"
