split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
4,1,0.6356604768081652,0.6529253401278785,0.28628230616302186,0.5942769134356305,0.7390648567119156,0.37875164095405994,0.36813451532087105,0.57,0.6801219512195122,0.7180327868852459,0.6785714285714286,0.7330316742081447,0.49137931034482757,0.8571428571428571,0.7058015513897866,"[0.8571428571428571, 0.49137931034482757]","[0.7330316742081447, 0.6785714285714286]","[0.7902439024390244, 0.57]","[0.7330316742081447, 0.6785714285714286]"
4,2,0.6099919230244232,0.6934797090799205,0.3687150837988827,0.5821665452634976,0.7487071751777635,0.39775409696855846,0.3921578396691744,0.5789473684210527,0.6942355889724311,0.7377049180327869,0.6547619047619048,0.7692307692307693,0.5188679245283019,0.8542713567839196,0.711996336996337,"[0.8542713567839196, 0.5188679245283019]","[0.7692307692307693, 0.6547619047619048]","[0.8095238095238095, 0.5789473684210527]","[0.7692307692307693, 0.6547619047619048]"
4,3,0.5983825696252262,0.7080154113469819,0.4380305602716469,0.5772821650980344,0.7635746606334841,0.35635871712792727,0.341438227562899,0.5576923076923077,0.6644182931496365,0.6983606557377049,0.6904761904761905,0.7013574660633484,0.46774193548387094,0.856353591160221,0.6959168282697694,"[0.856353591160221, 0.46774193548387094]","[0.7013574660633484, 0.6904761904761905]","[0.7711442786069652, 0.5576923076923077]","[0.7013574660633484, 0.6904761904761905]"
4,4,0.5748927889260959,0.7407439202785581,0.4816753926701571,0.5789299951074949,0.7551712992889463,0.33556564433064423,0.3345108836822691,0.5280898876404494,0.6668227215980025,0.7245901639344262,0.5595238095238095,0.7873303167420814,0.5,0.8246445497630331,0.6734270631329455,"[0.8246445497630331, 0.5]","[0.7873303167420814, 0.5595238095238095]","[0.8055555555555556, 0.5280898876404494]","[0.7873303167420814, 0.5595238095238095]"
4,5,0.5552333181094764,0.765838867636858,0.5433715220949263,0.5988191712428542,0.7735940530058177,0.4083007504152512,0.37157511726798476,0.591304347826087,0.6719679633867277,0.6918032786885245,0.8095238095238095,0.6470588235294118,0.4657534246575342,0.89937106918239,0.7282913165266107,"[0.89937106918239, 0.4657534246575342]","[0.6470588235294118, 0.8095238095238095]","[0.7526315789473684, 0.591304347826087]","[0.6470588235294118, 0.8095238095238095]"
4,6,0.5331872683579109,0.7840763150123278,0.5612903225806452,0.572371189074676,0.7683150183150184,0.3512076405391782,0.3493793209797219,0.5414364640883977,0.6739816353076021,0.7278688524590164,0.5833333333333334,0.7828054298642534,0.5051546391752577,0.8317307692307693,0.6830693815987934,"[0.8317307692307693, 0.5051546391752577]","[0.7828054298642534, 0.5833333333333334]","[0.8065268065268065, 0.5414364640883977]","[0.7828054298642534, 0.5833333333333334]"
4,7,0.499371918790466,0.8250324503629634,0.6456456456456456,0.5794553213381495,0.763143719026072,0.3464055260815196,0.34569903725408124,0.5340909090909091,0.6725754084625053,0.7311475409836066,0.5595238095238095,0.7963800904977375,0.5108695652173914,0.8262910798122066,0.6779519500107736,"[0.8262910798122066, 0.5108695652173914]","[0.7963800904977375, 0.5595238095238095]","[0.8110599078341014, 0.5340909090909091]","[0.7963800904977375, 0.5595238095238095]"
4,8,0.4516193221812214,0.8576098676574616,0.6836581709145427,0.9119409261380925,0.6942469295410472,0.1934935199226088,0.13393279697113114,0.47651006711409394,0.48825503355704697,0.4885245901639344,0.8452380952380952,0.35294117647058826,0.3317757009345794,0.8571428571428571,0.5990896358543417,"[0.8571428571428571, 0.3317757009345794]","[0.35294117647058826, 0.8452380952380952]","[0.5, 0.47651006711409394]","[0.35294117647058826, 0.8452380952380952]"
4,9,0.3995578498283657,0.8873680523601198,0.7379209370424598,0.8908265984856472,0.7516698987287223,0.3246275996275226,0.26140045704150894,0.36036036036036034,0.6090378956110418,0.7672131147540984,0.23809523809523808,0.9683257918552036,0.7407407407407407,0.7697841726618705,0.6032105149752208,"[0.7697841726618705, 0.7407407407407407]","[0.9683257918552036, 0.23809523809523808]","[0.8577154308617234, 0.36036036036036034]","[0.9683257918552036, 0.23809523809523808]"
4,10,0.37833236201501214,0.8946410543449147,0.7526555386949925,1.0237875775695822,0.6917690152984272,0.23296863198654427,0.16306893019171653,0.49324324324324326,0.5077681184369083,0.5081967213114754,0.8690476190476191,0.37104072398190047,0.3443396226415094,0.8817204301075269,0.6200441715147598,"[0.8817204301075269, 0.3443396226415094]","[0.37104072398190047, 0.8690476190476191]","[0.5222929936305732, 0.49324324324324326]","[0.37104072398190047, 0.8690476190476191]"
4,11,0.3266511934133477,0.9228917565776371,0.7823439878234398,0.6655284330945803,0.7574337427278603,0.3411139442713681,0.33303782505910173,0.4861111111111111,0.6636564139246542,0.7573770491803279,0.4166666666666667,0.8868778280542986,0.5833333333333334,0.8,0.6517722473604827,"[0.8, 0.5833333333333334]","[0.8868778280542986, 0.4166666666666667]","[0.8412017167381974, 0.4861111111111111]","[0.8868778280542986, 0.4166666666666667]"
4,12,0.28771111911418146,0.9370909365621158,0.8153846153846154,0.6410131718677292,0.7464447317388494,0.30895187971986054,0.2992868424831284,0.5247524752475248,0.644729178800233,0.6852459016393443,0.6309523809523809,0.7058823529411765,0.4491525423728814,0.8342245989304813,0.6684173669467788,"[0.8342245989304813, 0.4491525423728814]","[0.7058823529411765, 0.6309523809523809]","[0.7647058823529411, 0.5247524752475248]","[0.7058823529411765, 0.6309523809523809]"
4,13,0.2411421752724809,0.959370085229419,0.8461538461538461,0.7998836912592154,0.7085757379875027,0.296878308429025,0.2737610432383115,0.5244444444444445,0.6232611832611833,0.6491803278688525,0.7023809523809523,0.6289592760180995,0.41843971631205673,0.8475609756097561,0.6656701141995259,"[0.8475609756097561, 0.41843971631205673]","[0.6289592760180995, 0.7023809523809523]","[0.7220779220779221, 0.5244444444444445]","[0.6289592760180995, 0.7023809523809523]"
4,14,0.20186394836012286,0.9753308563461921,0.8742331288343558,0.7532521648046384,0.733678086619263,0.3285844242605516,0.3060217621482799,0.5429864253393665,0.6416731612558015,0.6688524590163935,0.7142857142857143,0.6515837104072398,0.43795620437956206,0.8571428571428571,0.6829347123464771,"[0.8571428571428571, 0.43795620437956206]","[0.6515837104072398, 0.7142857142857143]","[0.7403598971722365, 0.5429864253393665]","[0.6515837104072398, 0.7142857142857143]"
4,15,0.20090528639083274,0.9739298248023791,0.8751879699248121,0.8998568854800943,0.7551712992889463,0.32870468870950986,0.30005737234652896,0.42857142857142855,0.6399055489964581,0.7639344262295082,0.32142857142857145,0.9321266968325792,0.6428571428571429,0.7832699619771863,0.6267776341305753,"[0.7832699619771863, 0.6428571428571429]","[0.9321266968325792, 0.32142857142857145]","[0.8512396694214877, 0.42857142857142855]","[0.9321266968325792, 0.32142857142857145]"
4,16,0.1611385052559592,0.9857046707919263,0.9057750759878419,1.1525977064240602,0.7401960784313726,0.24621301008503194,0.1531772224841531,0.49523809523809526,0.47812752219531884,0.4786885245901639,0.9285714285714286,0.3076923076923077,0.33766233766233766,0.918918918918919,0.6181318681318682,"[0.918918918918919, 0.33766233766233766]","[0.3076923076923077, 0.9285714285714286]","[0.4610169491525424, 0.49523809523809526]","[0.3076923076923077, 0.9285714285714286]"
4,17,0.11447620265852398,0.9947770368182849,0.9503759398496241,1.0020018333731904,0.7515082956259427,0.347524884385512,0.3135048231511254,0.43548387096774194,0.6457254745785211,0.7704918032786885,0.32142857142857145,0.9411764705882353,0.675,0.7849056603773585,0.6313025210084033,"[0.7849056603773585, 0.675]","[0.9411764705882353, 0.32142857142857145]","[0.8559670781893004, 0.43548387096774194]","[0.9411764705882353, 0.32142857142857145]"
4,18,0.11950199653933379,0.9931253305129562,0.9375,0.9173228371806794,0.76890756302521,0.3379842783890676,0.3067516086692065,0.432,0.6428041237113402,0.7672131147540984,0.32142857142857145,0.9366515837104072,0.6585365853658537,0.7840909090909091,0.6290400775694893,"[0.7840909090909091, 0.6585365853658537]","[0.9366515837104072, 0.32142857142857145]","[0.8536082474226804, 0.432]","[0.9366515837104072, 0.32142857142857145]"
4,19,0.0947542700918086,0.9976821169311915,0.9748148148148148,0.76016387819416,0.7675070028011204,0.3725575280555081,0.3408750110258445,0.5701754385964912,0.6568154679893451,0.6786885245901639,0.7738095238095238,0.6425339366515838,0.4513888888888889,0.8819875776397516,0.7081717302305538,"[0.8819875776397516, 0.4513888888888889]","[0.6425339366515838, 0.7738095238095238]","[0.743455497382199, 0.5701754385964912]","[0.6425339366515838, 0.7738095238095238]"
4,20,0.0802253920773362,0.9987019854814672,0.9715994020926756,0.7463250095161664,0.7250592544710192,0.306002789406218,0.30054496584716295,0.5181347150259067,0.647556566146047,0.6950819672131148,0.5952380952380952,0.7330316742081447,0.45871559633027525,0.826530612244898,0.66413488472312,"[0.826530612244898, 0.45871559633027525]","[0.7330316742081447, 0.5952380952380952]","[0.7769784172661871, 0.5181347150259067]","[0.7330316742081447, 0.5952380952380952]"
4,21,0.05797368844653352,0.9998626439662928,0.9822485207100592,0.820305002046927,0.7552251669898729,0.3180481702885306,0.29898123990557823,0.4393939393939394,0.6422911119563839,0.7573770491803279,0.34523809523809523,0.9140271493212669,0.6041666666666666,0.7859922178988327,0.6296326222796811,"[0.7859922178988327, 0.6041666666666666]","[0.9140271493212669, 0.34523809523809523]","[0.8451882845188284, 0.4393939393939394]","[0.9140271493212669, 0.34523809523809523]"
4,22,0.0813721153132904,0.9973902353595637,0.9703264094955489,0.7598995510922453,0.7512928248222366,0.3419860462632125,0.34188444018221054,0.5263157894736842,0.670902769452104,0.7344262295081967,0.5357142857142857,0.8099547511312217,0.5172413793103449,0.8211009174311926,0.6728345184227538,"[0.8211009174311926, 0.5172413793103449]","[0.8099547511312217, 0.5357142857142857]","[0.8154897494305239, 0.5263157894736842]","[0.8099547511312217, 0.5357142857142857]"
