model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-densenet,1,1,0.6672226052979628,0.4808018598998358,0.0,0.6679071261485418,0.5438436948853616,0.0028157733142337,0.0017746228926353,0.0816326530612244,0.451174892267664,0.7,0.0476190476190476,0.9537037037037036,0.2857142857142857,0.7202797202797203,0.5006613756613757,"[0.7202797202797203, 0.2857142857142857]","[0.9537037037037037, 0.047619047619047616]","[0.8207171314741036, 0.08163265306122448]","[0.9537037037037037, 0.047619047619047616]"
base-densenet,1,2,0.6544970107575258,0.5846565091373382,0.0226628895184136,0.6531178302566211,0.5889274691358025,0.1335072430137809,0.1217798594847774,0.2857142857142857,0.5479204339963833,0.7,0.2142857142857142,0.8888888888888888,0.4285714285714285,0.7441860465116279,0.5515873015873015,"[0.7441860465116279, 0.42857142857142855]","[0.8888888888888888, 0.21428571428571427]","[0.810126582278481, 0.2857142857142857]","[0.8888888888888888, 0.21428571428571427]"
base-densenet,1,3,0.6467610833545526,0.5890194900296669,0.0718232044198895,0.6429090176026027,0.6500496031746031,0.1607142857142857,0.1163793103448277,0.2115384615384615,0.5231079404466501,0.7266666666666667,0.1309523809523809,0.9583333333333334,0.55,0.7392857142857143,0.5446428571428572,"[0.7392857142857143, 0.55]","[0.9583333333333334, 0.13095238095238096]","[0.8346774193548387, 0.21153846153846154]","[0.9583333333333334, 0.13095238095238096]"
base-densenet,1,4,0.6378101347386838,0.6501558451312479,0.0504201680672268,0.6737240477403005,0.6432153880070547,0.1732804232804232,0.1732804232804232,0.4047619047619047,0.5866402116402116,0.6666666666666666,0.4047619047619047,0.7685185185185185,0.4047619047619047,0.7685185185185185,0.5866402116402116,"[0.7685185185185185, 0.40476190476190477]","[0.7685185185185185, 0.40476190476190477]","[0.7685185185185185, 0.40476190476190477]","[0.7685185185185185, 0.40476190476190477]"
base-densenet,1,5,0.6289942338565986,0.6448574520601258,0.1728395061728395,0.6664106064041455,0.611138668430335,0.1034068995385135,0.1013659237958303,0.3150684931506849,0.5474020879850341,0.6666666666666666,0.2738095238095238,0.8194444444444444,0.3709677419354839,0.7436974789915967,0.5466269841269842,"[0.7436974789915967, 0.3709677419354839]","[0.8194444444444444, 0.27380952380952384]","[0.7797356828193832, 0.3150684931506849]","[0.8194444444444444, 0.27380952380952384]"
base-densenet,1,6,0.6243900554378827,0.66463766433724,0.2401847575057736,0.681989953716596,0.6124614197530864,0.1225386353089372,0.1207815275310834,0.3355704697986577,0.5580291373383532,0.67,0.2976190476190476,0.8148148148148148,0.3846153846153846,0.7489361702127659,0.5562169312169312,"[0.7489361702127659, 0.38461538461538464]","[0.8148148148148148, 0.2976190476190476]","[0.7804878048780488, 0.33557046979865773]","[0.8148148148148148, 0.2976190476190476]"
base-densenet,1,7,0.61955050299565,0.6771496557068677,0.2442396313364055,0.7394640393058459,0.6176973104056437,0.1501574354940846,0.1413288288288289,0.4351851851851852,0.5587384259259259,0.5933333333333334,0.5595238095238095,0.6064814814814815,0.3560606060606061,0.7797619047619048,0.5830026455026456,"[0.7797619047619048, 0.3560606060606061]","[0.6064814814814815, 0.5595238095238095]","[0.6822916666666666, 0.4351851851851852]","[0.6064814814814815, 0.5595238095238095]"
base-densenet,1,8,0.6071949098010858,0.7066322089041681,0.3953934740882917,0.7059888439377149,0.6066743827160495,0.1331603081645133,0.1261722080136401,0.4225352112676056,0.5523528769516323,0.59,0.5357142857142857,0.6111111111111112,0.3488372093023256,0.7719298245614035,0.5734126984126984,"[0.7719298245614035, 0.3488372093023256]","[0.6111111111111112, 0.5357142857142857]","[0.6821705426356589, 0.4225352112676056]","[0.6111111111111112, 0.5357142857142857]"
base-densenet,1,9,0.5937338333576918,0.7212096176758762,0.4304761904761904,0.6668538401027521,0.6266809964726632,0.1307983221381899,0.1302101274543575,0.3566878980891719,0.5643484637172722,0.6633333333333333,0.3333333333333333,0.7916666666666666,0.3835616438356164,0.7533039647577092,0.5625,"[0.7533039647577092, 0.3835616438356164]","[0.7916666666666666, 0.3333333333333333]","[0.7720090293453724, 0.35668789808917195]","[0.7916666666666666, 0.3333333333333333]"
base-densenet,1,10,0.5786392072960734,0.7389892768990746,0.4372623574144487,0.7342544228335222,0.5915729717813051,0.1015158631263566,0.1009681881051176,0.3333333333333333,0.5495495495495495,0.6533333333333333,0.3095238095238095,0.7870370370370371,0.3611111111111111,0.7456140350877193,0.5482804232804233,"[0.7456140350877193, 0.3611111111111111]","[0.7870370370370371, 0.30952380952380953]","[0.7657657657657657, 0.3333333333333333]","[0.7870370370370371, 0.30952380952380953]"
base-densenet,1,11,0.5657196471840144,0.7663347205200073,0.5042881646655232,0.8258414712672433,0.568314594356261,0.0615928606894122,0.0613158801240096,0.3057324840764331,0.5298414113384423,0.6366666666666667,0.2857142857142857,0.7731481481481481,0.3287671232876712,0.73568281938326,0.529431216931217,"[0.73568281938326, 0.3287671232876712]","[0.7731481481481481, 0.2857142857142857]","[0.7539503386004515, 0.3057324840764331]","[0.7731481481481481, 0.2857142857142857]"
base-densenet,1,12,0.5441447415699562,0.781035030161922,0.5625,0.6863160909712315,0.646246693121693,0.1525032980175788,0.1448118586088939,0.4339622641509434,0.5623419568177397,0.6,0.5476190476190477,0.6203703703703703,0.359375,0.7790697674418605,0.5839947089947091,"[0.7790697674418605, 0.359375]","[0.6203703703703703, 0.5476190476190477]","[0.6907216494845361, 0.4339622641509434]","[0.6203703703703703, 0.5476190476190477]"
base-densenet,1,13,0.523372891296943,0.8031435311468357,0.5737439222042139,0.8503576731930177,0.6050209435626102,0.1707502378884933,0.1666666666666667,0.3611111111111111,0.5796783625730995,0.6933333333333334,0.3095238095238095,0.8425925925925926,0.4333333333333333,0.7583333333333333,0.576058201058201,"[0.7583333333333333, 0.43333333333333335]","[0.8425925925925926, 0.30952380952380953]","[0.7982456140350878, 0.3611111111111111]","[0.8425925925925926, 0.30952380952380953]"
base-densenet,1,14,0.4879258450120687,0.8369310287144228,0.6406015037593985,0.8112621574724714,0.6194058641975309,0.1839029248767354,0.1838774150566289,0.4096385542168674,0.5919160513019821,0.6733333333333333,0.4047619047619047,0.7777777777777778,0.4146341463414634,0.7706422018348624,0.5912698412698413,"[0.7706422018348624, 0.4146341463414634]","[0.7777777777777778, 0.40476190476190477]","[0.7741935483870968, 0.40963855421686746]","[0.7777777777777778, 0.40476190476190477]"
