,val_auc,val_auc,val_auc,val_auc,val_auc,val_f1_binary,val_f1_binary,val_f1_binary,val_f1_binary,val_f1_binary,val_accuracy,val_accuracy,val_accuracy,val_accuracy,val_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_balanced_accuracy,val_specificity,val_specificity,val_specificity,val_specificity,val_specificity,val_sensitivity,val_sensitivity,val_sensitivity,val_sensitivity,val_sensitivity
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base-densenet,0.6733601877399981,0.017072392464665468,0.6500496031746031,0.6918636613523914,0.6748164218958612,0.35579063494157837,0.085923688050788,0.2115384615384615,0.4343434343434343,0.375,0.6959694987006357,0.043676152482227566,0.6241610738255033,0.7324414715719063,0.7080536912751678,0.5798370659942952,0.020789053214733386,0.5446428571428572,0.5967839472237493,0.5847943722943723,0.8459524615022141,0.10785756442506649,0.680952380952381,0.9583333333333334,0.8738317757009346,0.31372167048637634,0.13255955481081838,0.1309523809523809,0.4886363636363636,0.2857142857142857
base-efficientnet,0.6259071038225106,0.03352135670183443,0.5680043980208906,0.6525297619047619,0.6324068088773971,0.3545805671459414,0.09004552298485549,0.256,0.4804469273743016,0.3558282208588957,0.6885382484836866,0.02593508354706324,0.6488294314381271,0.7213114754098361,0.69,0.5764761609209108,0.040458408690767514,0.5409090909090909,0.6355820105820106,0.5561022539857065,0.8364486294557762,0.06615442099560365,0.7592592592592593,0.9,0.8687782805429864,0.31650369238604525,0.1300598540783562,0.1818181818181818,0.5119047619047619,0.3333333333333333
base-efficientnet-b7,0.6235932301414709,0.026932285607738235,0.584767316017316,0.6480863373386737,0.6365740740740741,0.3656204467515322,0.04686578121472522,0.3142857142857143,0.4086021505376344,0.3867403314917127,0.6684364831218792,0.03732762080543216,0.62751677852349,0.7081967213114754,0.6789297658862876,0.5698612437081376,0.018723562054879718,0.5523089609675647,0.5993859082094376,0.5607683982683982,0.7965075650837058,0.07800648429431689,0.7009345794392523,0.8703703703703703,0.8416289592760181,0.3432149223325694,0.08788306829921731,0.25,0.4523809523809524,0.3571428571428571
base-efficientnet-b8,0.6254073166057773,0.022209809886760797,0.5995475113122172,0.6501322751322751,0.6269653655854865,0.3739138453151778,0.07008389693581683,0.2900763358778626,0.4523809523809524,0.3758389261744966,0.6959768208179905,0.013959478527884839,0.6845637583892618,0.72,0.6912751677852349,0.5847579690075567,0.031998968526566064,0.5497468218056454,0.6187138406764575,0.5805937328202309,0.841728823169175,0.035472649350362824,0.7850467289719626,0.8733031674208145,0.8518518518518519,0.32778711484593837,0.09317392551189078,0.2261904761904762,0.4523809523809524,0.3294117647058823
base-resnet,0.6133662513948156,0.030815804421845835,0.5826869209222151,0.6603526924788606,0.601948051948052,0.3404186446519256,0.06259623056414648,0.2706766917293233,0.4258064516129032,0.3439490445859872,0.6688481603879289,0.031084802399874833,0.6229508196721312,0.7013422818791947,0.6755852842809364,0.5600888125475811,0.027652823782231963,0.5357888949972512,0.6076435246995995,0.553409090909091,0.8116991427931506,0.06558672987345114,0.7058823529411765,0.8703703703703703,0.822429906542056,0.3084784823020117,0.09016357758891436,0.2117647058823529,0.4047619047619047,0.3068181818181818
base-vit,0.5570330057611301,0.024560852010151162,0.5221049783549783,0.5879659556130143,0.55855930335097,0.32054923805214675,0.183961822921042,0.0,0.4397905759162304,0.3868312757201646,0.4737357024239304,0.193298571864888,0.28,0.7245901639344262,0.5016722408026756,0.5069314522750477,0.009492376266353296,0.5,0.5175324675324675,0.5,0.43054739652870494,0.4346316860137573,0.0,1.0,0.4813084112149532,0.5833155080213903,0.42915336422545153,0.0,1.0,0.5529411764705883
config1,0.6962446053181577,0.03236649398016177,0.6515151515151515,0.7281470458553791,0.7127002670226968,0.4838472043788696,0.07133788287879685,0.3773584905660377,0.5621621621621622,0.4912280701754385,0.7005471371730538,0.027619800714357004,0.6677852348993288,0.73,0.7080536912751678,0.6411984893224585,0.048483455433218844,0.5728354978354978,0.6960978835978836,0.6448598130841121,0.7796493341325668,0.01950759281613104,0.7523364485981309,0.8047619047619048,0.7782805429864253,0.5027476445123504,0.10589849468464523,0.3409090909090909,0.6190476190476191,0.5
config2,0.6375116245978212,0.025898968535503237,0.5971962616822429,0.6664163328882955,0.6444805194805195,0.3119786738160649,0.10644870080160654,0.2135922330097087,0.4324324324324324,0.2698412698412698,0.6707681705242827,0.057595150601192684,0.5785953177257525,0.7281879194630873,0.6933333333333334,0.5590738774795949,0.02346993105287586,0.5381493506493507,0.5927063132945486,0.5467846016911437,0.8185182668002898,0.15768017913274174,0.5841121495327103,0.9626168224299064,0.8842592592592593,0.2996294881588999,0.19658460763780977,0.1309523809523809,0.5647058823529412,0.2023809523809523
config3,0.5396923017731154,0.04082562307209928,0.5,0.6079494882064975,0.5349025974025974,0.43267260156430476,0.022873744668372237,0.3949044585987261,0.4559585492227979,0.4375,0.3652073810416575,0.17673879804854836,0.28,0.6812080536912751,0.2852459016393442,0.517898072241118,0.0383132936518112,0.5,0.5863929684023141,0.5,0.16436757305366428,0.35750502852869886,0.0,0.8037383177570093,0.0,0.8714285714285713,0.2808867962191342,0.369047619047619,1.0,1.0
config4,0.62384697746057,0.039586005369706564,0.5645582999554962,0.6676093514328809,0.6238592633315008,0.3834871562278349,0.0715136972778374,0.2706766917293233,0.465863453815261,0.384180790960452,0.632404930408853,0.050369122901014904,0.5536912751677853,0.6766666666666666,0.6354515050167224,0.567637744587992,0.02327298690178621,0.5353835978835979,0.595211161387632,0.5644859813084112,0.7139334978339926,0.12852729889027503,0.5095238095238095,0.8564814814814815,0.7289719626168224,0.4213419913419913,0.15803168011135338,0.2142857142857142,0.6590909090909091,0.4166666666666667
config5,0.6301453657090912,0.028668682620547316,0.6078614623419462,0.6791833555852247,0.6225749559082893,0.2846741868427488,0.09841098601104094,0.18,0.4270833333333333,0.2413793103448276,0.6774399357867382,0.04254917428413512,0.62751677852349,0.725752508361204,0.6879194630872483,0.5480320426320976,0.03387743704428258,0.5013528138528138,0.5924639086403792,0.5416666666666666,0.8481560129443583,0.10537859226852568,0.6968325791855203,0.97196261682243,0.8457943925233645,0.24790807231983697,0.14906845593883591,0.1058823529411764,0.4880952380952381,0.1931818181818181
config6,0.610971385657454,0.02045791560955179,0.5849367784496975,0.6339561287477954,0.6201249730661496,0.09743055555555555,0.1939732012839867,0.0,0.4427083333333333,0.0,0.6290046451337836,0.19284289352810088,0.2842809364548495,0.7245901639344262,0.7133333333333334,0.5005291005291006,0.001183104749999946,0.5,0.5026455026455027,0.5,0.7962962962962964,0.4452153807470855,0.0,1.0,1.0,0.20476190476190476,0.44467114399728574,0.0,1.0,0.0
config7,0.6189768851490035,0.029061959928188445,0.581663434604611,0.6574877614597242,0.6275903880070546,0.25109915663637106,0.15530932919815124,0.0434782608695652,0.4152542372881356,0.2956521739130435,0.6765243024111987,0.078385449406064,0.5384615384615384,0.73,0.7114093959731543,0.5440442649912138,0.03152894976451824,0.4983301012712777,0.5753226524254562,0.5499175371083012,0.8497424642834208,0.19042196338765321,0.5233644859813084,0.9761904761904762,0.9351851851851852,0.23834606569900685,0.21904994592615265,0.0238095238095238,0.5764705882352941,0.2023809523809523
config8,0.6783160625727512,0.03387384229666662,0.6422619047619047,0.7179016466399644,0.6688290269378779,0.37548551952372733,0.16683270044646234,0.0980392156862745,0.538860103626943,0.3924050632911392,0.7080397398057828,0.022662364842733745,0.6789297658862876,0.7348993288590604,0.7013422818791947,0.5993626280872021,0.0652721332476153,0.5003501400560224,0.6763462394303517,0.6039502164502165,0.849918278838015,0.08580113510820445,0.7336448598130841,0.9411764705882352,0.8472222222222222,0.3488069773363891,0.20356856198714673,0.0595238095238095,0.6190476190476191,0.3647058823529411
