model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-densenet,1,1,0.6586026954650879,0.5789928273686582,0.2669039145907473,0.6088660831252733,0.7179783950617283,0.2936662171742135,0.2930591259640102,0.5,0.6462264150943396,0.7066666666666667,0.5238095238095238,0.7777777777777778,0.4782608695652174,0.8076923076923077,0.6507936507936508,"[0.8076923076923077, 0.4782608695652174]","[0.7777777777777778, 0.5238095238095238]","[0.7924528301886793, 0.5]","[0.7777777777777778, 0.5238095238095238]"
base-densenet,1,2,0.6224410190681616,0.6671468904372881,0.2964509394572025,0.6056145649154981,0.7270171957671957,0.338584473243825,0.320113314447592,0.5514018691588785,0.6513486029732216,0.68,0.7023809523809523,0.6712962962962963,0.4538461538461538,0.8529411764705882,0.6868386243386243,"[0.8529411764705882, 0.45384615384615384]","[0.6712962962962963, 0.7023809523809523]","[0.7512953367875648, 0.5514018691588785]","[0.6712962962962963, 0.7023809523809523]"
base-densenet,1,3,0.6015960974991321,0.7002140523489429,0.4069565217391304,0.6085097792247931,0.7177028218694885,0.3202078777813821,0.3187579214195184,0.5222222222222223,0.6587301587301587,0.7133333333333334,0.5595238095238095,0.7731481481481481,0.4895833333333333,0.8186274509803921,0.6663359788359788,"[0.8186274509803921, 0.4895833333333333]","[0.7731481481481481, 0.5595238095238095]","[0.7952380952380952, 0.5222222222222223]","[0.7731481481481481, 0.5595238095238095]"
base-densenet,1,4,0.5886493173738321,0.730000443808698,0.476038338658147,0.5843151838084062,0.7374338624338624,0.3149795028745388,0.3139757498404595,0.5168539325842697,0.6565312316949785,0.7133333333333334,0.5476190476190477,0.7777777777777778,0.4893617021276595,0.8155339805825242,0.6626984126984128,"[0.8155339805825242, 0.48936170212765956]","[0.7777777777777778, 0.5476190476190477]","[0.7962085308056872, 0.5168539325842697]","[0.7777777777777778, 0.5476190476190477]"
base-densenet,1,5,0.576093217258652,0.7461482525885995,0.4886731391585761,0.5555978360772132,0.7684634038800706,0.3622159533005094,0.359375,0.5543478260869565,0.678616220735786,0.7266666666666667,0.6071428571428571,0.7731481481481481,0.51,0.835,0.6901455026455026,"[0.835, 0.51]","[0.7731481481481481, 0.6071428571428571]","[0.8028846153846154, 0.5543478260869565]","[0.7731481481481481, 0.6071428571428571]"
base-densenet,1,6,0.5630277895927429,0.7587387639586372,0.5126582278481012,0.5908369664847851,0.7371582892416226,0.3267041568756703,0.3115318416523236,0.5428571428571428,0.6483516483516483,0.68,0.6785714285714286,0.6805555555555556,0.4523809523809524,0.8448275862068966,0.6795634920634921,"[0.8448275862068966, 0.4523809523809524]","[0.6805555555555556, 0.6785714285714286]","[0.7538461538461538, 0.5428571428571428]","[0.6805555555555556, 0.6785714285714286]"
base-densenet,1,7,0.549949471304814,0.7778430214496157,0.5384615384615384,0.5702597317099571,0.751929012345679,0.3574901015812457,0.3561208267090621,0.547486033519553,0.677543491819159,0.73,0.5833333333333334,0.7870370370370371,0.5157894736842106,0.8292682926829268,0.6851851851851852,"[0.8292682926829268, 0.5157894736842106]","[0.7870370370370371, 0.5833333333333334]","[0.8076009501187649, 0.547486033519553]","[0.7870370370370371, 0.5833333333333334]"
base-densenet,1,8,0.5304213014741739,0.7939805884903335,0.5723270440251572,0.582697363247474,0.7605820105820106,0.3718290404220336,0.3545611015490533,0.5714285714285714,0.6703296703296704,0.7,0.7142857142857143,0.6944444444444444,0.4761904761904761,0.8620689655172413,0.7043650793650793,"[0.8620689655172413, 0.47619047619047616]","[0.6944444444444444, 0.7142857142857143]","[0.7692307692307693, 0.5714285714285714]","[0.6944444444444444, 0.7142857142857143]"
base-densenet,1,9,0.5247360053782661,0.7972340476377429,0.5682539682539682,0.5891947715605299,0.7568893298059965,0.3434474561692904,0.3434011818778726,0.5294117647058824,0.6716826265389877,0.7333333333333333,0.5357142857142857,0.8101851851851852,0.5232558139534884,0.8177570093457944,0.6729497354497355,"[0.8177570093457944, 0.5232558139534884]","[0.8101851851851852, 0.5357142857142857]","[0.813953488372093, 0.5294117647058824]","[0.8101851851851852, 0.5357142857142857]"
base-densenet,1,10,0.4933332515259583,0.8227393921186402,0.6225563909774436,0.6135165279358625,0.7530864197530864,0.2766115174507297,0.2742217558586919,0.457516339869281,0.6359170066236786,0.7233333333333334,0.4166666666666667,0.8425925925925926,0.5072463768115942,0.7878787878787878,0.6296296296296297,"[0.7878787878787878, 0.5072463768115942]","[0.8425925925925926, 0.4166666666666667]","[0.814317673378076, 0.45751633986928103]","[0.8425925925925926, 0.4166666666666667]"
