Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9780656085812118,0.7472527472527473,0.6305114638447972,0.11712196314942191,0.0905245346869713,0.2037037037037037,0.514453477868112,0.7133333333333334,0.13095238095238096,0.9398148148148148,0.4583333333333333,0.7355072463768116,0.5353835978835979,"[0.7355072463768116, 0.4583333333333333]","[0.9398148148148148, 0.13095238095238096]","[0.8252032520325203, 0.2037037037037037]","[0.9398148148148148, 0.13095238095238096]"
Gradient Boosting,2,1,0.9728427956548473,0.7468123861566485,0.5879604178119845,0.19913464308663414,0.16645134969742292,0.29310344827586204,0.5614894834740306,0.725752508361204,0.2,0.9345794392523364,0.5483870967741935,0.746268656716418,0.5672897196261683,"[0.746268656716418, 0.5483870967741935]","[0.9345794392523364, 0.2]","[0.8298755186721992, 0.29310344827586204]","[0.9345794392523364, 0.2]"
Gradient Boosting,3,1,0.9782302190356941,0.7061068702290076,0.5818722943722944,0.02631503279085044,0.02073311199945793,0.1565217391304348,0.4774292687336166,0.674496644295302,0.10227272727272728,0.9142857142857143,0.3333333333333333,0.7084870848708487,0.5082792207792207,"[0.7084870848708487, 0.3333333333333333]","[0.9142857142857143, 0.10227272727272728]","[0.7983367983367984, 0.1565217391304348]","[0.9142857142857143, 0.10227272727272728]"
Gradient Boosting,4,1,0.9701559677762744,0.7366482504604052,0.5675500969618616,0.0835884463163432,0.0681015752308527,0.19642857142857142,0.5078528399311532,0.7049180327868853,0.13095238095238096,0.9230769230769231,0.39285714285714285,0.7364620938628159,0.527014652014652,"[0.7364620938628159, 0.39285714285714285]","[0.9230769230769231, 0.13095238095238096]","[0.8192771084337349, 0.19642857142857142]","[0.9230769230769231, 0.13095238095238096]"
Gradient Boosting,5,1,0.9715532304045286,0.7091932457786116,0.5754895416110369,0.1033751794494292,0.09314633500926173,0.25806451612903225,0.531574630945872,0.6912751677852349,0.19047619047619047,0.8878504672897196,0.4,0.7364341085271318,0.539163328882955,"[0.7364341085271318, 0.4]","[0.8878504672897196, 0.19047619047619047]","[0.8050847457627118, 0.25806451612903225]","[0.8878504672897196, 0.19047619047619047]"
Gradient Boosting,6,2,0.9751597615892202,0.7029126213592233,0.647522289031723,0.15720985488689224,0.10739153722549544,0.2,0.5112903225806452,0.7095709570957096,0.12087912087912088,0.9622641509433962,0.5789473684210527,0.7183098591549296,0.5415716359112586,"[0.7183098591549296, 0.5789473684210527]","[0.9622641509433962, 0.12087912087912088]","[0.8225806451612904, 0.2]","[0.9622641509433962, 0.12087912087912088]"
Gradient Boosting,7,2,0.9754486445208095,0.7410207939508506,0.5537780093798853,0.13468354046011058,0.10243055555555547,0.22950819672131148,0.515177827174215,0.6835016835016835,0.14736842105263157,0.9356435643564357,0.5185185185185185,0.7,0.5415059927045336,"[0.7, 0.5185185185185185]","[0.9356435643564357, 0.14736842105263157]","[0.8008474576271186, 0.22950819672131148]","[0.9356435643564357, 0.14736842105263157]"
Gradient Boosting,8,2,0.9728526182935251,0.7391304347826086,0.5982882076527187,0.04026748551632028,0.03503969340268265,0.1896551724137931,0.4977201481903676,0.6866666666666666,0.13414634146341464,0.8944954128440367,0.3235294117647059,0.7330827067669173,0.5143208771537257,"[0.7330827067669173, 0.3235294117647059]","[0.8944954128440367, 0.13414634146341464]","[0.8057851239669421, 0.1896551724137931]","[0.8944954128440367, 0.13414634146341464]"
Gradient Boosting,9,2,0.9754689365375925,0.7312614259597806,0.5712460805945884,0.08315385001218047,0.06765889869631059,0.19047619047619047,0.5083260297984225,0.7138047138047138,0.12658227848101267,0.926605504587156,0.38461538461538464,0.7453874538745388,0.5265938915340843,"[0.7453874538745388, 0.38461538461538464]","[0.926605504587156, 0.12658227848101267]","[0.8261758691206544, 0.19047619047619047]","[0.926605504587156, 0.12658227848101267]"
Gradient Boosting,10,2,0.9747143583658248,0.7169117647058824,0.5773789173789173,0.050920515875086725,0.04064501877623139,0.1568627450980392,0.4931139122315593,0.7161716171617162,0.10256410256410256,0.9288888888888889,0.3333333333333333,0.7491039426523297,0.5157264957264958,"[0.7491039426523297, 0.3333333333333333]","[0.9288888888888889, 0.10256410256410256]","[0.8293650793650794, 0.1568627450980392]","[0.9288888888888889, 0.10256410256410256]"
