Repeat,Fold,feature,auc,direction,threshold,sensitivity,specificity,test,p_value,q_value,selection_rank,passes_fdr,removed_by_correlation_with,is_selected,feature_limit
,,dwi_square_ngtdm_Strength,0.7317060196307228,positive_higher,0.2528203086124055,0.8382352941176471,0.5227537922987164,mann_whitney_u,5.968966461415778e-36,2.506369017148485e-32,1,True,,True,42
,,dwi_exponential_glszm_GrayLevelNonUniformityNormalized,0.7119414510261514,negative_higher,0.3408941485864563,0.7036172695449242,0.6617647058823529,mann_whitney_u,1.2530784528873355e-30,2.630838211836961e-27,2,True,,True,42
,,dwi_exponential_glcm_Imc1,0.7094721669297824,negative_higher,-0.2612556420326501,0.7141190198366394,0.6294117647058823,mann_whitney_u,5.873207391104313e-30,8.220532611749003e-27,3,True,,True,42
,,dwi_exponential_ngtdm_Strength,0.7085627016267416,positive_higher,0.8482876518136782,0.7235294117647059,0.6336056009334889,mann_whitney_u,1.0327174201069393e-29,1.0840951117572596e-26,4,True,,True,42
,,dwi_exponential_glszm_GrayLevelVariance,0.7053040702862241,positive_higher,1.1019066403681788,0.7176470588235294,0.6382730455075847,mann_whitney_u,7.647503305365602e-29,6.422373275846032e-26,5,True,,True,42
,,dwi_log-sigma-3-mm-3D_firstorder_Skewness,0.7045404626261239,negative_higher,-1.013988653379185,0.8109684947491248,0.5205882352941176,mann_whitney_u,2.188798926733258e-28,1.5317944488921583e-25,6,True,,True,42
,,dwi_exponential_glcm_ClusterProminence,0.7012972750360353,positive_higher,1.9140996465276168,0.6970588235294117,0.6441073512252042,mann_whitney_u,8.597955679013257e-28,5.157545128025239e-25,7,True,,True,42
,,dwi_exponential_glszm_HighGrayLevelZoneEmphasis,0.7002694076463725,positive_higher,6.0,0.6705882352941176,0.6756126021003501,mann_whitney_u,1.5870425554119734e-27,8.329989612718595e-25,8,True,dwi_exponential_glszm_GrayLevelVariance,False,42
,,dwi_exponential_glrlm_GrayLevelVariance,0.6999519527764431,positive_higher,0.3099310358096321,0.6882352941176471,0.6476079346557759,mann_whitney_u,1.9170743326115284e-27,8.350653123692229e-25,9,True,,True,42
,,dwi_exponential_glcm_ClusterShade,0.6998901777747272,positive_higher,0.4667199430440281,0.6852941176470588,0.6511085180863477,mann_whitney_u,1.988724249509938e-27,8.350653123692229e-25,10,True,dwi_exponential_glcm_ClusterProminence,False,42
,,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0.6997460361040565,positive_higher,0.0637963536178331,0.6411764705882353,0.676779463243874,mann_whitney_u,3.791404804446582e-27,1.4472826158064727e-24,11,True,,True,42
,,dwi_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.6988811860800329,positive_higher,0.7520402218845691,0.6705882352941176,0.6452742123687281,mann_whitney_u,6.297221269686013e-27,2.034002470108582e-24,12,True,dwi_exponential_glrlm_GrayLevelVariance,False,42
,,dwi_exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.6988811860800329,positive_higher,3.5984308314340407,0.6617647058823529,0.6686114352392065,mann_whitney_u,6.297221269686013e-27,2.034002470108582e-24,13,True,dwi_exponential_glszm_GrayLevelVariance,False,42
,,dwi_square_ngtdm_Busyness,0.6979803006383417,negative_higher,18.20576208193272,0.5297549591598599,0.7970588235294118,mann_whitney_u,1.0655998650533146e-26,3.1960384523991915e-24,14,True,,True,42
,,dwi_exponential_firstorder_Maximum,0.6959811929439219,positive_higher,180.2382113403017,0.7,0.6266044340723453,mann_whitney_u,3.3974629578776383e-26,9.058584554029595e-24,15,True,,True,42
,,dwi_exponential_firstorder_Range,0.6959537373876038,positive_higher,176.424213108715,0.7058823529411765,0.6219369894982497,mann_whitney_u,3.451711189913635e-26,9.058584554029595e-24,16,True,dwi_exponential_firstorder_Maximum,False,42
,,dwi_exponential_gldm_GrayLevelVariance,0.6936268789896356,positive_higher,0.0471574946857911,0.6529411764705882,0.6756126021003501,mann_whitney_u,7.746957633361633e-26,1.913498535440323e-23,17,True,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,False,42
,,dwi_exponential_glrlm_HighGrayLevelRunEmphasis,0.6930331525842541,positive_higher,1.7721951647140533,0.6529411764705882,0.6639439906651108,mann_whitney_u,1.089743723010865e-25,2.5398304437046228e-23,18,True,dwi_exponential_glrlm_GrayLevelVariance,False,42
,,dwi_exponential_glcm_ClusterTendency,0.6929404900816802,positive_higher,0.1376627466344189,0.6441176470588236,0.676779463243874,mann_whitney_u,1.1492445446627254e-25,2.5398304437046228e-23,19,True,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,False,42
,,dwi_log-sigma-3-mm-3D_firstorder_Kurtosis,0.6934793053744251,positive_higher,4.508316495220338,0.6470588235294118,0.676779463243874,mann_whitney_u,1.426195887409566e-25,2.994298265616384e-23,20,True,,True,42
,,dwi_square_firstorder_Skewness,0.6929576498043791,positive_higher,2.29148545797808,0.7058823529411765,0.6231038506417736,mann_whitney_u,1.9190741996217623e-25,3.837234554386562e-23,21,True,,True,42
,,dwi_wavelet2-LL_ngtdm_Strength,0.6926178872949413,positive_higher,5.5061280589391925,0.6205882352941177,0.676779463243874,mann_whitney_u,2.327398206412229e-25,4.4091099456408495e-23,22,True,,True,42
,,dwi_square_glrlm_GrayLevelNonUniformity,0.6925526803486854,negative_higher,454.1856461669481,0.5659276546091015,0.7558823529411764,mann_whitney_u,2.4150876101390697e-25,4.4091099456408495e-23,23,True,,True,42
,,dwi_exponential_glcm_SumSquares,0.6914681858741163,positive_higher,0.0521930175871517,0.6323529411764706,0.6884480746791132,mann_whitney_u,2.6655995293053494e-25,4.6636885098138176e-23,24,True,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,False,42
,,dwi_exponential_firstorder_Skewness,0.6918765872743498,positive_higher,5.939506266403892,0.7441176470588236,0.6056009334889147,mann_whitney_u,3.5412585299722486e-25,5.947897826941389e-23,25,True,,True,42
,,dwi_wavelet2-LL_firstorder_Skewness,0.6912828608689684,positive_higher,0.5207871709888531,0.7058823529411765,0.5962660443407235,mann_whitney_u,4.95060230084654e-25,7.995222715867162e-23,26,True,,True,42
,,dwi_original_firstorder_Skewness,0.6885613288489258,positive_higher,0.5348615761362226,0.7264705882352941,0.5670945157526255,mann_whitney_u,2.269539619886328e-24,3.5295543940380337e-22,27,True,dwi_wavelet2-LL_firstorder_Skewness,False,42
,,dwi_exponential_gldm_HighGrayLevelEmphasis,0.6864129315670259,positive_higher,1.0744115413819286,0.6676470588235294,0.6371061843640606,mann_whitney_u,4.5649320471180705e-24,6.588065989726713e-22,28,True,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,False,42
,,dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis,0.687178255199396,negative_higher,38185.45555555556,0.690781796966161,0.6029411764705883,mann_whitney_u,4.88014444662478e-24,6.588065989726713e-22,29,True,,True,42
,,dwi_exponential_glcm_DifferenceVariance,0.6862825176745144,positive_higher,0.0238694666960017,0.7235294117647059,0.574095682613769,mann_whitney_u,4.907164281335793e-24,6.588065989726713e-22,30,True,dwi_exponential_glrlm_GrayLevelVariance | dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,False,42
,,dwi_exponential_glszm_LargeAreaEmphasis,0.6871439357539981,negative_higher,38097.61111111111,0.690781796966161,0.6029411764705883,mann_whitney_u,4.973391238648024e-24,6.588065989726713e-22,31,True,dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis,False,42
,,dwi_exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.6871267760312992,negative_higher,38081.0836695705,0.690781796966161,0.6029411764705883,mann_whitney_u,5.020674247946054e-24,6.588065989726713e-22,32,True,dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis,False,42
