Classifier,feature,times_selected,mean_auc,mean_p_value,mean_q_value
Gradient Boosting,dwi_square_ngtdm_Strength,50,0.7420431514422089,5.542950020240673e-34,2.327484713499059e-30
Gradient Boosting,dwi_log-sigma-3-mm-3D_firstorder_Skewness,50,0.7214348312543909,1.4690818403708124e-30,2.0483209117626162e-27
Gradient Boosting,dwi_exponential_glcm_Imc1,50,0.714344929198802,4.270695926432686e-29,3.068164577283904e-26
Gradient Boosting,dwi_exponential_ngtdm_Strength,50,0.7113532059436151,1.6586443589684462e-27,1.1361891199274913e-24
Gradient Boosting,dwi_exponential_glszm_GrayLevelNonUniformityNormalized,50,0.7106005821144035,5.6965067155506496e-27,2.9900035180166572e-24
Gradient Boosting,dwi_square_firstorder_Skewness,50,0.7085678653389391,1.782585425022348e-27,1.138933269578614e-24
Gradient Boosting,dwi_square_ngtdm_Busyness,50,0.7016014554320347,6.93006857998448e-25,2.2769523252347777e-22
Gradient Boosting,dwi_exponential_firstorder_Skewness,50,0.6995927448446123,7.910312817156019e-25,2.261723869267863e-22
Gradient Boosting,dwi_square_glrlm_GrayLevelNonUniformity,50,0.6991477292979961,2.244437624524425e-24,2.9645558906555873e-22
Gradient Boosting,dwi_exponential_glcm_ClusterProminence,50,0.6981363617417238,1.0179396056675782e-24,2.8273169607360575e-22
Gradient Boosting,dwi_exponential_glrlm_GrayLevelVariance,50,0.6973326105799028,1.9046192145808326e-24,4.464209444678602e-22
Gradient Boosting,dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis,50,0.6972744423659354,1.6988199598257366e-24,3.7836431340373193e-22
Gradient Boosting,dwi_wavelet2-LL_glcm_ClusterShade,50,0.6909193437379446,5.966497535816573e-22,4.31559810899675e-20
Gradient Boosting,dwi_log-sigma-2-mm-3D_firstorder_Kurtosis,50,0.6891164904889224,3.2442533822712114e-22,3.148805214389728e-20
Gradient Boosting,dwi_square_firstorder_Kurtosis,50,0.6869682036683865,3.054229487954598e-22,2.838342990692351e-20
