Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9782158207559086,0.8598726114649682,0.8110670194003528,0.4706629646419304,0.46659671213711096,0.6013071895424836,0.7324209325788481,0.7966666666666666,0.5476190476190477,0.8935185185185185,0.6666666666666666,0.8354978354978355,0.720568783068783,"[0.8354978354978355, 0.6666666666666666]","[0.8935185185185185, 0.5476190476190477]","[0.8635346756152126, 0.6013071895424836]","[0.8935185185185185, 0.5476190476190477]"
Gradient Boosting,2,1,0.9840062854410058,0.8792270531400966,0.8185816382627817,0.42889221404571687,0.42699007465461514,0.5786163522012578,0.7129983811120184,0.7759197324414716,0.5411764705882353,0.8691588785046729,0.6216216216216216,0.8266666666666667,0.7051676745464541,"[0.8266666666666667, 0.6216216216216216]","[0.8691588785046729, 0.5411764705882353]","[0.8473804100227791, 0.5786163522012578]","[0.8691588785046729, 0.5411764705882353]"
Gradient Boosting,3,1,0.9847412565822199,0.8838709677419355,0.7753787878787879,0.3337479314652587,0.3163046803303763,0.46808510638297873,0.651624970773907,0.7483221476510067,0.375,0.9047619047619048,0.6226415094339622,0.7755102040816326,0.6398809523809523,"[0.7755102040816326, 0.6226415094339622]","[0.9047619047619048, 0.375]","[0.8351648351648352, 0.46808510638297873]","[0.9047619047619048, 0.375]"
Gradient Boosting,4,1,0.9875967501562425,0.8948194662480377,0.8003663003663004,0.4632663262639757,0.4587245248454317,0.5921052631578947,0.7283670420592967,0.7967213114754098,0.5357142857142857,0.8959276018099548,0.6617647058823529,0.8354430379746836,0.7158209437621202,"[0.8354430379746836, 0.6617647058823529]","[0.8959276018099548, 0.5357142857142857]","[0.8646288209606987, 0.5921052631578947]","[0.8959276018099548, 0.5357142857142857]"
Gradient Boosting,5,1,0.9830654527743434,0.867741935483871,0.8167000445037829,0.3514851272861249,0.34519294443441095,0.5034013605442177,0.67040892080663,0.7550335570469798,0.44047619047619047,0.8785046728971962,0.5873015873015873,0.8,0.6594904316866934,"[0.8, 0.5873015873015873]","[0.8785046728971962, 0.44047619047619047]","[0.8374164810690423, 0.5034013605442177]","[0.8785046728971962, 0.44047619047619047]"
Gradient Boosting,6,2,0.9859284906432789,0.8918032786885246,0.7906386066763426,0.38962119704520143,0.38216809586324396,0.5408805031446541,0.688784770587987,0.759075907590759,0.4725274725274725,0.8820754716981132,0.6323529411764706,0.7957446808510639,0.6773014721127928,"[0.7957446808510639, 0.6323529411764706]","[0.8820754716981132, 0.4725274725274725]","[0.8366890380313199, 0.5408805031446541]","[0.8820754716981132, 0.4725274725274725]"
Gradient Boosting,7,2,0.9851678294977263,0.8469387755102041,0.82892131318395,0.4003553008016812,0.38067655236329934,0.5324675324675324,0.6844155844155844,0.7575757575757576,0.43157894736842106,0.9108910891089109,0.6949152542372882,0.773109243697479,0.6712350182386659,"[0.773109243697479, 0.6949152542372882]","[0.9108910891089109, 0.43157894736842106]","[0.8363636363636363, 0.5324675324675324]","[0.9108910891089109, 0.43157894736842106]"
Gradient Boosting,8,2,0.983953107830897,0.8771929824561403,0.8075072723204296,0.4818856667972902,0.4807292868682206,0.6153846153846154,0.7401247401247402,0.8,0.5853658536585366,0.8807339449541285,0.6486486486486487,0.8495575221238938,0.7330498993063326,"[0.8495575221238938, 0.6486486486486487]","[0.8807339449541285, 0.5853658536585366]","[0.8648648648648649, 0.6153846153846154]","[0.8807339449541285, 0.5853658536585366]"
Gradient Boosting,9,2,0.9865473725389685,0.8909657320872274,0.7807455580072001,0.38385745912303093,0.38261079143192833,0.5369127516778524,0.6909282859512857,0.7676767676767676,0.5063291139240507,0.8623853211009175,0.5714285714285714,0.8281938325991189,0.6843572175124841,"[0.8281938325991189, 0.5714285714285714]","[0.8623853211009175, 0.5063291139240507]","[0.8449438202247191, 0.5369127516778524]","[0.8623853211009175, 0.5063291139240507]"
Gradient Boosting,10,2,0.984027801322258,0.8791208791208791,0.82997150997151,0.4126908946025432,0.3993861500095913,0.5230769230769231,0.6964124111182934,0.7953795379537953,0.4358974358974359,0.92,0.6538461538461539,0.8247011952191236,0.677948717948718,"[0.8247011952191236, 0.6538461538461539]","[0.92, 0.4358974358974359]","[0.8697478991596639, 0.5230769230769231]","[0.92, 0.4358974358974359]"
Gradient Boosting,11,3,0.9834473507712944,0.8701095461658842,0.8090284005979074,0.36467738390923804,0.36466278301603505,0.5234899328859061,0.6823266219239374,0.761744966442953,0.52,0.8430493273542601,0.527027027027027,0.8392857142857143,0.68152466367713,"[0.8392857142857143, 0.527027027027027]","[0.8430493273542601, 0.52]","[0.8411633109619687, 0.5234899328859061]","[0.8430493273542601, 0.52]"
Gradient Boosting,12,3,0.9839947170993063,0.8832807570977917,0.8273092369477911,0.3941880737474158,0.3907149818375122,0.543046357615894,0.6943419707542557,0.7692307692307693,0.4939759036144578,0.875,0.6029411764705882,0.8181818181818182,0.6844879518072289,"[0.8181818181818182, 0.6029411764705882]","[0.875, 0.4939759036144578]","[0.8456375838926175, 0.543046357615894]","[0.875, 0.4939759036144578]"
Gradient Boosting,13,3,0.9868500881834216,0.8692699490662139,0.7962376237623762,0.3991712292660557,0.3855822948001719,0.5529411764705883,0.6885076252723312,0.7475083056478405,0.46534653465346537,0.89,0.6811594202898551,0.7672413793103449,0.6776732673267327,"[0.7672413793103449, 0.6811594202898551]","[0.89, 0.46534653465346537]","[0.8240740740740741, 0.5529411764705883]","[0.89, 0.46534653465346537]"
