Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,num_selected_features,selected_features,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy,Classifier
1,1,0.8640170149426976,0.6531130876747141,0.8315145502645502,0.5285102718473004,0.5221948212083847,0.6702127659574468,0.7598636645321215,0.7933333333333333,0.75,0.8101851851851852,0.6057692307692307,0.8928571428571429,0.7800925925925926,42,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_square_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_ngtdm_Strength', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_firstorder_Maximum', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Kurtosis', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_square_glcm_MCC', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_log-sigma-3-mm-3D_glcm_ClusterShade', 'dwi_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis', 'dwi_wavelet2-LH_glcm_MCC', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_exponential_glcm_Imc2', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_log-sigma-2-mm-3D_ngtdm_Strength', 'dwi_wavelet2-LH_glcm_Correlation', 't2_original_shape_SurfaceVolumeRatio', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_log-sigma-2-mm-3D_ngtdm_Busyness']","[0.8928571428571429, 0.6057692307692307]","[0.8101851851851852, 0.75]","[0.8495145631067961, 0.6702127659574468]","[0.8101851851851852, 0.75]",SVM
2,1,0.8718077474892395,0.6753246753246753,0.8029686641011544,0.3867462926014259,0.3731961778471139,0.5825242718446602,0.6815682583713096,0.7123745819397993,0.7058823529411765,0.7149532710280374,0.49586776859504134,0.8595505617977528,0.710417811984607,42,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Skewness', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_firstorder_Range', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Kurtosis', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_square_glcm_MCC', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_log-sigma-2-mm-3D_ngtdm_Strength', 'dwi_exponential_glcm_Imc2', 'dwi_wavelet2-LH_glcm_MCC', 'dwi_log-sigma-2-mm-3D_ngtdm_Busyness', 'dwi_logarithm_gldm_GrayLevelNonUniformity', 't2_original_glszm_GrayLevelNonUniformity']","[0.8595505617977528, 0.49586776859504134]","[0.7149532710280374, 0.7058823529411765]","[0.7806122448979592, 0.5825242718446602]","[0.7149532710280374, 0.7058823529411765]",SVM
3,1,0.8803416750999126,0.6771653543307087,0.776352813852814,0.40335497835497836,0.40335497835497836,0.5795454545454546,0.7016774891774892,0.7516778523489933,0.5795454545454546,0.8238095238095238,0.5795454545454546,0.8238095238095238,0.7016774891774892,42,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_square_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_firstorder_Maximum', 'dwi_square_ngtdm_Busyness', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_square_glcm_MCC', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_square_firstorder_Kurtosis', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_exponential_glcm_Imc2', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_log-sigma-3-mm-3D_glrlm_LongRunHighGrayLevelEmphasis', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_square_glcm_ClusterShade', 'dwi_wavelet2-LH_glcm_MCC', 't2_squareroot_glszm_SizeZoneNonUniformity', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'adc_wavelet2-LL_glcm_Imc1', 't2_original_shape_SurfaceVolumeRatio']","[0.8238095238095238, 0.5795454545454546]","[0.8238095238095238, 0.5795454545454546]","[0.8238095238095238, 0.5795454545454546]","[0.8238095238095238, 0.5795454545454546]",SVM
4,1,0.8642630505401526,0.6609756097560976,0.8188967894850248,0.48003132241927704,0.46338563956252976,0.6372549019607843,0.7274944460542838,0.7573770491803279,0.7738095238095238,0.751131221719457,0.5416666666666666,0.8972972972972973,0.7624703727644904,42,"['dwi_square_ngtdm_Strength', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glcm_Imc1', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_square_firstorder_Skewness', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_exponential_firstorder_Maximum', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_square_firstorder_Kurtosis', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_square_glszm_GrayLevelVariance', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_log-sigma-3-mm-3D_ngtdm_Strength', 'dwi_exponential_glcm_Imc2', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_square_glcm_MCC', 'adc_wavelet2-LL_ngtdm_Coarseness', 't2_original_shape_SurfaceVolumeRatio', 't2_wavelet2-LL_glszm_SizeZoneNonUniformity', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_exponential_glszm_ZoneVariance', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_exponential_glszm_SizeZoneNonUniformity', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_wavelet2-LH_glcm_MCC']","[0.8972972972972973, 0.5416666666666666]","[0.751131221719457, 0.7738095238095238]","[0.8177339901477833, 0.6372549019607843]","[0.751131221719457, 0.7738095238095238]",SVM
5,1,0.8680317846328861,0.6735218508997429,0.8307187360925679,0.4840336153829574,0.4685425542455167,0.6435643564356436,0.7304116198421873,0.7583892617449665,0.7738095238095238,0.7523364485981309,0.5508474576271186,0.8944444444444445,0.7630729862038274,42,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_square_firstorder_Skewness', 'dwi_square_ngtdm_Busyness', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_exponential_firstorder_Maximum', 'dwi_square_firstorder_Kurtosis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_original_firstorder_Kurtosis', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_square_glcm_MCC', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_exponential_glszm_LargeAreaEmphasis', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 't2_original_glszm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceEmphasis', 't2_original_shape_SurfaceVolumeRatio', 'dwi_exponential_glcm_Imc2', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_wavelet2-LH_glcm_Imc2', 't2_logarithm_ngtdm_Coarseness', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_wavelet2-LH_glcm_MCC', 't2_log-sigma-3-mm-3D_glszm_ZoneEntropy', 'dwi_squareroot_ngtdm_Coarseness', 'dwi_log-sigma-2-mm-3D_ngtdm_Strength']","[0.8944444444444445, 0.5508474576271186]","[0.7523364485981309, 0.7738095238095238]","[0.817258883248731, 0.6435643564356436]","[0.7523364485981309, 0.7738095238095238]",SVM
6,2,0.8719183880211767,0.6749688667496887,0.787476674269127,0.4308273327565679,0.41809920839383585,0.6203703703703703,0.70505698005698,0.7293729372937293,0.7362637362637363,0.7264150943396226,0.536,0.8651685393258427,0.7313394153016795,41,"['dwi_square_ngtdm_Strength', 'dwi_exponential_glcm_Imc1', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_exponential_ngtdm_Strength', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_square_firstorder_Skewness', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_square_ngtdm_Busyness', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_firstorder_Maximum', 'dwi_exponential_glszm_LargeAreaEmphasis', 'dwi_square_glcm_MCC', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_square_firstorder_Kurtosis', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_exponential_glcm_Imc2', 'dwi_wavelet2-LL_firstorder_Kurtosis', 't2_original_shape_SurfaceVolumeRatio', 't2_original_glszm_GrayLevelNonUniformity', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 't2_logarithm_ngtdm_Coarseness', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_squareroot_ngtdm_Coarseness', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_wavelet2-LH_glcm_MCC', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_original_ngtdm_Coarseness']","[0.8651685393258427, 0.536]","[0.7264150943396226, 0.7362637362637363]","[0.7897435897435897, 0.6203703703703703]","[0.7264150943396226, 0.7362637362637363]",SVM
7,2,0.8638238050609186,0.6442953020134228,0.8440854611776967,0.49818772196380573,0.4976679821639076,0.6632653061224489,0.7487180801969029,0.7777777777777778,0.6842105263157895,0.8217821782178217,0.6435643564356436,0.8469387755102041,0.7529963522668056,41,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_square_firstorder_Skewness', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glcm_Imc1', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_firstorder_Skewness', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_exponential_firstorder_Maximum', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Kurtosis', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_square_glcm_MCC', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_wavelet2-LH_glcm_Correlation', 't2_original_shape_SurfaceVolumeRatio', 'dwi_log-sigma-3-mm-3D_glcm_ClusterShade', 'dwi_log-sigma-2-mm-3D_ngtdm_Strength', 't2_wavelet2-LL_glszm_SizeZoneNonUniformity', 'dwi_exponential_glcm_Imc2', 'dwi_log-sigma-0-6-mm-3D_firstorder_Skewness']","[0.8469387755102041, 0.6435643564356436]","[0.8217821782178217, 0.6842105263157895]","[0.8341708542713567, 0.6632653061224489]","[0.8217821782178217, 0.6842105263157895]",SVM
8,2,0.8770475351334066,0.6761658031088082,0.7967666144551354,0.40583331538513157,0.3882307244125073,0.5882352941176471,0.6880570409982174,0.72,0.7317073170731707,0.7155963302752294,0.4918032786885246,0.8764044943820225,0.7236518236742,42,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_square_firstorder_Skewness', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_ngtdm_Strength', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_exponential_firstorder_Maximum', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Kurtosis', 'dwi_original_firstorder_Kurtosis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_square_glcm_MCC', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis', 'dwi_exponential_glcm_Imc2', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 't2_original_shape_SurfaceVolumeRatio', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_wavelet2-LH_glcm_Imc2', 't2_original_glszm_GrayLevelNonUniformity', 'dwi_logarithm_gldm_GrayLevelNonUniformity', 'dwi_wavelet2-LH_glcm_MCC', 'adc_wavelet2-LL_glcm_Imc1']","[0.8764044943820225, 0.4918032786885246]","[0.7155963302752294, 0.7317073170731707]","[0.7878787878787878, 0.5882352941176471]","[0.7155963302752294, 0.7317073170731707]",SVM
9,2,0.8627825254112679,0.6708385481852316,0.7913134363024038,0.3677007598273005,0.3518374513984699,0.5583756345177665,0.6696160288457851,0.7070707070707071,0.6962025316455697,0.7110091743119266,0.4661016949152542,0.8659217877094972,0.7036058529787481,43,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_square_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_exponential_firstorder_Skewness', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_firstorder_Maximum', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_square_firstorder_Kurtosis', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_square_glcm_MCC', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'adc_original_ngtdm_Coarseness', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_exponential_glcm_Imc2', 'dwi_square_glcm_ClusterShade', 'dwi_log-sigma-0-6-mm-3D_glszm_ZoneVariance', 't2_squareroot_glszm_SizeZoneNonUniformity', 'dwi_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_ngtdm_Strength', 't2_logarithm_ngtdm_Coarseness', 'dwi_log-sigma-2-mm-3D_ngtdm_Busyness', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_logarithm_ngtdm_Coarseness', 'dwi_wavelet2-LH_glcm_MCC']","[0.8659217877094972, 0.4661016949152542]","[0.7110091743119266, 0.6962025316455697]","[0.7808564231738035, 0.5583756345177665]","[0.7110091743119266, 0.6962025316455697]",SVM
10,2,0.868960840820478,0.6799501867995019,0.8255840455840456,0.45393006274872894,0.44518375241779495,0.6077348066298343,0.7203379915502113,0.7656765676567657,0.7051282051282052,0.7866666666666666,0.5339805825242718,0.885,0.745897435897436,43,"['dwi_square_ngtdm_Strength', 'dwi_log-sigma-3-mm-3D_firstorder_Skewness', 'dwi_exponential_glcm_Imc1', 'dwi_exponential_ngtdm_Strength', 'dwi_exponential_glszm_GrayLevelNonUniformityNormalized', 'dwi_square_firstorder_Skewness', 'dwi_log-sigma-3-mm-3D_firstorder_Kurtosis', 'dwi_exponential_glszm_GrayLevelVariance', 'dwi_wavelet2-LL_ngtdm_Strength', 'dwi_wavelet2-LL_firstorder_Skewness', 'dwi_exponential_glcm_ClusterProminence', 'dwi_exponential_glrlm_GrayLevelVariance', 'dwi_square_ngtdm_Busyness', 'dwi_exponential_gldm_SmallDependenceHighGrayLevelEmphasis', 'dwi_exponential_firstorder_Skewness', 'dwi_exponential_firstorder_Maximum', 'dwi_log-sigma-3-mm-3D_ngtdm_Strength', 'dwi_log-sigma-2-mm-3D_firstorder_Kurtosis', 'dwi_wavelet2-LL_glcm_ClusterShade', 'dwi_log-sigma-3-mm-3D_ngtdm_Busyness', 'dwi_square_glrlm_GrayLevelNonUniformity', 'dwi_square_firstorder_Kurtosis', 'dwi_wavelet2-LH_glcm_Correlation', 'dwi_wavelet2-LH_glcm_MCC', 'dwi_wavelet2-LL_firstorder_Kurtosis', 'dwi_wavelet2-LH_glcm_Imc2', 'dwi_square_glcm_MCC', 'dwi_exponential_glszm_SizeZoneNonUniformityNormalized', 'dwi_square_glszm_SmallAreaHighGrayLevelEmphasis', 'dwi_log-sigma-2-mm-3D_glcm_MCC', 'dwi_exponential_glszm_LargeAreaHighGrayLevelEmphasis', 'dwi_exponential_glcm_Imc2', 'dwi_exponential_gldm_SmallDependenceEmphasis', 'dwi_square_glszm_SizeZoneNonUniformityNormalized', 'dwi_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis', 'adc_logarithm_gldm_GrayLevelNonUniformity', 'dwi_wavelet2-LL_glszm_GrayLevelNonUniformity', 'dwi_wavelet-LH_glcm_Imc1', 't2_squareroot_glszm_SizeZoneNonUniformity', 'adc_wavelet2-LL_ngtdm_Coarseness', 'dwi_log-sigma-2-mm-3D_ngtdm_Busyness', 'dwi_wavelet2-LH_glcm_Imc1', 'dwi_logarithm_gldm_GrayLevelNonUniformity']","[0.885, 0.5339805825242718]","[0.7866666666666666, 0.7051282051282052]","[0.8329411764705882, 0.6077348066298343]","[0.7866666666666666, 0.7051282051282052]",SVM
