Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9655016486104568,0.688026981450253,0.5981818181818181,0.23116369085008906,0.199438202247191,0.32142857142857145,0.5828454332552694,0.7466666666666667,0.225,0.9363636363636364,0.5625,0.7686567164179104,0.5806818181818182,"[0.7686567164179104, 0.5625]","[0.9363636363636364, 0.225]","[0.8442622950819673, 0.32142857142857145]","[0.9363636363636364, 0.225]"
Gradient Boosting,2,1,0.9720419233749745,0.6772486772486772,0.5928489042675894,0.2325882867634668,0.1585365853658537,0.25806451612903225,0.5347699629825489,0.6993464052287581,0.1568627450980392,0.9705882352941176,0.7272727272727273,0.6971830985915493,0.5637254901960784,"[0.6971830985915493, 0.7272727272727273]","[0.9705882352941176, 0.1568627450980392]","[0.8114754098360656, 0.25806451612903225]","[0.9705882352941176, 0.1568627450980392]"
Gradient Boosting,3,1,0.9739207832665777,0.6859083191850595,0.4703125,0.12139619439517763,0.09313154831199077,0.19607843137254902,0.5170115477020848,0.7302631578947368,0.125,0.9464285714285714,0.45454545454545453,0.75177304964539,0.5357142857142857,"[0.75177304964539, 0.45454545454545453]","[0.9464285714285714, 0.125]","[0.8379446640316206, 0.19607843137254902]","[0.9464285714285714, 0.125]"
Gradient Boosting,4,1,0.9707583196944899,0.671353251318102,0.5844897959183674,0.15480177102676523,0.10344386122135452,0.2033898305084746,0.5033685554216013,0.6845637583892618,0.12244897959183673,0.96,0.6,0.6906474820143885,0.5412244897959183,"[0.6906474820143885, 0.6]","[0.96, 0.12244897959183673]","[0.803347280334728, 0.2033898305084746]","[0.96, 0.12244897959183673]"
Gradient Boosting,5,1,0.9572760806947487,0.6837606837606838,0.5660377358490566,0.03264713064094732,0.025200458190149044,0.14814814814814814,0.47903275176002447,0.6891891891891891,0.09523809523809523,0.9245283018867925,0.3333333333333333,0.7205882352941176,0.5098831985624439,"[0.7205882352941176, 0.3333333333333333]","[0.9245283018867925, 0.09523809523809523]","[0.8099173553719008, 0.14814814814814814]","[0.9245283018867925, 0.09523809523809523]"
Gradient Boosting,6,1,0.9705568742599033,0.6915254237288135,0.5439221272554606,-0.03996379920303227,-0.029892573563755187,0.08163265306122448,0.4489795918367347,0.6938775510204082,0.05128205128205128,0.9259259259259259,0.2,0.7299270072992701,0.4886039886039886,"[0.7299270072992701, 0.2]","[0.9259259259259259, 0.05128205128205128]","[0.8163265306122449, 0.08163265306122448]","[0.9259259259259259, 0.05128205128205128]"
Gradient Boosting,7,1,0.9687673085935836,0.6943521594684385,0.6977466977466977,0.1368869089074058,0.10620399579390116,0.19047619047619047,0.5293466223698782,0.7733333333333333,0.12121212121212122,0.9572649572649573,0.4444444444444444,0.7943262411347518,0.5392385392385393,"[0.7943262411347518, 0.4444444444444444]","[0.9572649572649573, 0.12121212121212122]","[0.8682170542635659, 0.19047619047619047]","[0.9572649572649573, 0.12121212121212122]"
Gradient Boosting,8,1,0.9661965110918117,0.7011686143572621,0.5566619250829777,0.22590200763470183,0.2013617267854555,0.32727272727272727,0.5875046763935653,0.7516778523489933,0.23684210526315788,0.9279279279279279,0.5294117647058824,0.7803030303030303,0.5823850165955429,"[0.7803030303030303, 0.5294117647058824]","[0.9279279279279279, 0.23684210526315788]","[0.8477366255144033, 0.32727272727272727]","[0.9279279279279279, 0.23684210526315788]"
Gradient Boosting,9,1,0.9604206604206604,0.6723549488054608,0.611283185840708,0.21052943473636146,0.19261213720316617,0.3333333333333333,0.5853658536585366,0.738562091503268,0.25,0.911504424778761,0.5,0.7744360902255639,0.5807522123893805,"[0.7744360902255639, 0.5]","[0.911504424778761, 0.25]","[0.8373983739837398, 0.3333333333333333]","[0.911504424778761, 0.25]"
Gradient Boosting,10,1,0.965104561380386,0.6460980036297641,0.5976808176100629,0.10454399197061644,0.08013977868375066,0.2318840579710145,0.50022150496804,0.6442953020134228,0.1509433962264151,0.9166666666666666,0.5,0.6616541353383458,0.5338050314465409,"[0.6616541353383458, 0.5]","[0.9166666666666666, 0.1509433962264151]","[0.7685589519650655, 0.2318840579710145]","[0.9166666666666666, 0.1509433962264151]"
