model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-densenet,1,22,0.4133149211481213,0.8616238618867331,0.7394695787831513,0.8055028298869729,0.6122960758377425,0.1829885212717166,0.1818753933291378,0.4285714285714285,0.5898838004101162,0.6533333333333333,0.4642857142857143,0.7268518518518519,0.3979591836734694,0.7772277227722773,0.595568783068783,"[0.7772277227722773, 0.3979591836734694]","[0.7268518518518519, 0.4642857142857143]","[0.7511961722488039, 0.42857142857142855]","[0.7268518518518519, 0.4642857142857143]"
base-densenet,2,38,0.3129142549155456,0.900573888091822,0.7986688851913477,0.8077672573551535,0.6413963716327652,0.1710390037314419,0.1697807601087523,0.3846153846153846,0.583710407239819,0.6789297658862876,0.3529411764705882,0.8084112149532711,0.4225352112676056,0.7587719298245614,0.5806761957119296,"[0.7587719298245614, 0.4225352112676056]","[0.8084112149532711, 0.35294117647058826]","[0.7828054298642534, 0.38461538461538464]","[0.8084112149532711, 0.35294117647058826]"
base-densenet,3,51,0.1808129868209796,0.9823776607605358,0.8495867768595041,0.7876188124986303,0.6140151515151515,0.1550708588374796,0.1458423226283671,0.3309352517985611,0.5637170788533287,0.6879194630872483,0.2613636363636363,0.8666666666666667,0.4509803921568627,0.7368421052631579,0.5640151515151515,"[0.7368421052631579, 0.45098039215686275]","[0.8666666666666667, 0.26136363636363635]","[0.7964989059080962, 0.33093525179856115]","[0.8666666666666667, 0.26136363636363635]"
base-densenet,4,6,0.6277466250402871,0.6757539129300103,0.1796116504854369,0.6252149183765735,0.6277203188967895,0.1595396793459065,0.1430093983141168,0.2926829268292683,0.5570190814844493,0.7147540983606557,0.2142857142857142,0.9049773755656108,0.4615384615384615,0.7518796992481203,0.5596315449256626,"[0.7518796992481203, 0.46153846153846156]","[0.9049773755656109, 0.21428571428571427]","[0.8213552361396304, 0.2926829268292683]","[0.9049773755656109, 0.21428571428571427]"
base-densenet,5,39,0.3185073903586697,0.8944860542028126,0.7900826446280992,0.8016325279870289,0.6270861148197597,0.1855664196865091,0.1845810530790075,0.430939226519337,0.5913732277174999,0.6543624161073825,0.4642857142857143,0.7289719626168224,0.4020618556701031,0.7761194029850746,0.5966288384512684,"[0.7761194029850746, 0.4020618556701031]","[0.7289719626168224, 0.4642857142857143]","[0.7518072289156627, 0.430939226519337]","[0.7289719626168224, 0.4642857142857143]"
base-efficientnet,1,9,1.0840920094736797,0.5884049856786348,0.3921015514809591,2.617843205124761,0.5852347883597884,0.0408315786255092,0.0398550724637681,0.2638888888888889,0.5157163742690059,0.6466666666666666,0.2261904761904762,0.8101851851851852,0.3166666666666666,0.7291666666666666,0.5181878306878307,"[0.7291666666666666, 0.31666666666666665]","[0.8101851851851852, 0.2261904761904762]","[0.7675438596491229, 0.2638888888888889]","[0.8101851851851852, 0.2261904761904762]"
base-efficientnet,2,2,1.2573829140284016,0.5469836715173875,0.3690888119953864,3.862073250737352,0.5089059923034633,0.0337298673157604,0.0335802751637538,0.2893081761006289,0.5159524935172849,0.6220735785953178,0.2705882352941176,0.7616822429906542,0.3108108108108108,0.7244444444444444,0.5161352391423859,"[0.7244444444444444, 0.3108108108108108]","[0.7616822429906542, 0.27058823529411763]","[0.7425968109339408, 0.2893081761006289]","[0.7616822429906542, 0.27058823529411763]"
base-efficientnet,3,40,0.3853209607329969,0.9181111816263872,0.7646176911544228,1.4580500287374156,0.5773809523809523,0.0351603083558451,0.0321624519139811,0.225563909774436,0.501550853375339,0.6543624161073825,0.1704545454545454,0.8571428571428571,0.3333333333333333,0.7114624505928854,0.5137987012987013,"[0.7114624505928854, 0.3333333333333333]","[0.8571428571428571, 0.17045454545454544]","[0.7775377969762419, 0.22556390977443608]","[0.8571428571428571, 0.17045454545454544]"
base-efficientnet,4,33,0.6473783292930534,0.8393243456701944,0.6666666666666666,1.5041390431418469,0.565018315018315,0.0773877430965645,0.0674009534769027,0.2184873949579832,0.5145390131612726,0.6950819672131148,0.1547619047619047,0.9004524886877828,0.3714285714285714,0.737037037037037,0.5276071967248438,"[0.737037037037037, 0.37142857142857144]","[0.9004524886877828, 0.15476190476190477]","[0.8105906313645621, 0.2184873949579832]","[0.9004524886877828, 0.15476190476190477]"
base-efficientnet,5,19,0.8774926982666621,0.7092993552474276,0.4979253112033195,1.416543869082519,0.5881731197151758,0.0423926584388268,0.0371567043618739,0.2,0.4991596638655462,0.6778523489932886,0.1428571428571428,0.8878504672897196,0.3333333333333333,0.7251908396946565,0.5153538050734312,"[0.7251908396946565, 0.3333333333333333]","[0.8878504672897196, 0.14285714285714285]","[0.7983193277310925, 0.2]","[0.8878504672897196, 0.14285714285714285]"
