model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-densenet,1,3,0.6467610833545526,0.5890194900296669,0.0718232044198895,0.6429090176026027,0.6500496031746031,0.1607142857142857,0.1163793103448277,0.2115384615384615,0.5231079404466501,0.7266666666666667,0.1309523809523809,0.9583333333333334,0.55,0.7392857142857143,0.5446428571428572,"[0.7392857142857143, 0.55]","[0.9583333333333334, 0.13095238095238096]","[0.8346774193548387, 0.21153846153846154]","[0.9583333333333334, 0.13095238095238096]"
base-densenet,2,89,0.0319608667763314,0.999829199972672,0.9926793557833088,0.9015650191592672,0.6918636613523914,0.2488258321126045,0.227440087849622,0.375,0.6023936170212766,0.7324414715719063,0.2823529411764706,0.911214953271028,0.5581395348837209,0.76171875,0.5967839472237493,"[0.76171875, 0.5581395348837209]","[0.9112149532710281, 0.2823529411764706]","[0.8297872340425532, 0.375]","[0.9112149532710281, 0.2823529411764706]"
base-densenet,3,27,0.394794231835449,0.8588051662921734,0.7453625632377741,0.7872373358402777,0.6633658008658009,0.1603144766050319,0.158107153667642,0.4343434343434343,0.5764681995837775,0.6241610738255033,0.4886363636363636,0.680952380952381,0.3909090909090909,0.7606382978723404,0.5847943722943723,"[0.7606382978723404, 0.39090909090909093]","[0.680952380952381, 0.48863636363636365]","[0.7185929648241206, 0.43434343434343436]","[0.680952380952381, 0.48863636363636365]"
base-densenet,4,10,0.5800926471783165,0.7441331804102824,0.4243614931237721,0.6083494282138893,0.6867054514113337,0.1933507091260207,0.1927845103774899,0.4025157232704403,0.595936353874688,0.6885245901639344,0.3809523809523809,0.8054298642533937,0.4266666666666667,0.7739130434782608,0.5931911226028873,"[0.7739130434782608, 0.4266666666666667]","[0.8054298642533937, 0.38095238095238093]","[0.7893569844789357, 0.4025157232704403]","[0.8054298642533937, 0.38095238095238093]"
base-densenet,5,87,0.0469454221722643,0.9995367863188476,0.9927007299270072,0.8891051954389768,0.6748164218958612,0.1905895359418102,0.181163539890089,0.3555555555555555,0.583417691009882,0.7080536912751678,0.2857142857142857,0.8738317757009346,0.4705882352941176,0.757085020242915,0.5797730307076101,"[0.757085020242915, 0.47058823529411764]","[0.8738317757009346, 0.2857142857142857]","[0.8112798264642083, 0.35555555555555557]","[0.8738317757009346, 0.2857142857142857]"
base-efficientnet,1,40,0.3224176927560499,0.9349888535738548,0.8,1.127452224858377,0.6525297619047619,0.2617338243719835,0.2607313195548491,0.4804469273743016,0.6297721572738492,0.69,0.5119047619047619,0.7592592592592593,0.4526315789473684,0.8,0.6355820105820106,"[0.8, 0.45263157894736844]","[0.7592592592592593, 0.5119047619047619]","[0.7790973871733967, 0.48044692737430167]","[0.7592592592592593, 0.5119047619047619]"
base-efficientnet,2,8,1.0637402314986777,0.6255960920953747,0.4039270687237026,3.9813265403111777,0.5680043980208906,0.1152612212926366,0.1150604617075852,0.3558282208588957,0.557224455257034,0.6488294314381271,0.3411764705882353,0.7710280373831776,0.3717948717948718,0.746606334841629,0.5561022539857065,"[0.746606334841629, 0.3717948717948718]","[0.7710280373831776, 0.3411764705882353]","[0.7586206896551724, 0.3558282208588957]","[0.7710280373831776, 0.3411764705882353]"
base-efficientnet,3,47,0.1839580380070733,0.9754240922111111,0.8892215568862275,1.6997616223365577,0.6318181818181818,0.1131826067268062,0.0983798555533866,0.256,0.5292738853503185,0.6879194630872483,0.1818181818181818,0.9,0.4324324324324324,0.7241379310344828,0.5409090909090909,"[0.7241379310344828, 0.43243243243243246]","[0.9, 0.18181818181818182]","[0.802547770700637, 0.256]","[0.9, 0.18181818181818182]"
base-efficientnet,4,65,0.0899190966177328,0.993801808978964,0.9551374819102748,1.4353783806101668,0.6324068088773971,0.2316134531613804,0.224475754584343,0.3971631205673759,0.6079632233966943,0.7213114754098361,0.3333333333333333,0.8687782805429864,0.4912280701754385,0.7741935483870968,0.6010558069381599,"[0.7741935483870968, 0.49122807017543857]","[0.8687782805429864, 0.3333333333333333]","[0.8187633262260128, 0.3971631205673759]","[0.8687782805429864, 0.3333333333333333]"
base-efficientnet,5,53,0.1285954383072449,0.9892745596915542,0.9217391304347826,1.3989296409153695,0.6447763684913217,0.1247909969013926,0.114427535758605,0.2834645669291338,0.5447173580914326,0.6946308724832215,0.2142857142857142,0.883177570093458,0.4186046511627907,0.7411764705882353,0.5487316421895861,"[0.7411764705882353, 0.4186046511627907]","[0.883177570093458, 0.21428571428571427]","[0.8059701492537313, 0.28346456692913385]","[0.883177570093458, 0.21428571428571427]"
base-efficientnet-b7,1,54,0.3781027477502984,0.9715911224604756,0.8802308802308803,1.9901027218196152,0.6365740740740741,0.1462012933854115,0.1379310344827586,0.3157894736842105,0.5604643299898568,0.6966666666666667,0.25,0.8703703703703703,0.4285714285714285,0.749003984063745,0.5601851851851851,"[0.749003984063745, 0.42857142857142855]","[0.8703703703703703, 0.25]","[0.8051391862955032, 0.3157894736842105]","[0.8703703703703703, 0.25]"
base-efficientnet-b7,2,24,1.7633632692514023,0.6200775432124068,0.3962516733601071,142.97737226286836,0.6065970313358988,0.1217996894083947,0.1170716702553061,0.3142857142857143,0.5523393636930755,0.6789297658862876,0.2588235294117647,0.8457943925233645,0.4,0.7418032786885246,0.5523089609675647,"[0.7418032786885246, 0.4]","[0.8457943925233645, 0.25882352941176473]","[0.7903930131004366, 0.3142857142857143]","[0.8457943925233645, 0.25882352941176473]"
base-efficientnet-b7,3,12,2.869508182891657,0.4691943534416219,0.3049095607235142,518.7244643658684,0.584767316017316,0.1196576208926722,0.1195634815011976,0.3867403314917127,0.5596352259868203,0.62751677852349,0.3977272727272727,0.7238095238095238,0.3763440860215054,0.7414634146341463,0.5607683982683982,"[0.7414634146341463, 0.3763440860215054]","[0.7238095238095238, 0.3977272727272727]","[0.7325301204819277, 0.3867403314917127]","[0.7238095238095238, 0.3977272727272727]"
base-efficientnet-b7,4,51,0.2336231819060233,0.9806499687515025,0.9051094890510948,4.193920765894113,0.6419413919413919,0.216834452181673,0.2137581462708182,0.4026845637583892,0.6048129977143356,0.7081967213114754,0.3571428571428571,0.8416289592760181,0.4615384615384615,0.775,0.5993859082094376,"[0.775, 0.46153846153846156]","[0.8416289592760181, 0.35714285714285715]","[0.806941431670282, 0.40268456375838924]","[0.8416289592760181, 0.35714285714285715]"
base-efficientnet-b7,5,92,0.1097383417847226,0.9943324443717836,0.9529411764705882,2.0402270123292974,0.6480863373386737,0.1453799656713112,0.1439465162436018,0.4086021505376344,0.5701547338054026,0.6308724832214765,0.4523809523809524,0.7009345794392523,0.3725490196078431,0.7653061224489796,0.5766577659101023,"[0.7653061224489796, 0.37254901960784315]","[0.7009345794392523, 0.4523809523809524]","[0.7317073170731707, 0.40860215053763443]","[0.7009345794392523, 0.4523809523809524]"
base-efficientnet-b8,1,30,0.8363375370721803,0.8914597550858769,0.7285513361462729,51.00037107777688,0.6501322751322751,0.255159300234381,0.2510699001426533,0.4324324324324324,0.6232958622339153,0.72,0.3809523809523809,0.8518518518518519,0.5,0.7796610169491526,0.6164021164021164,"[0.7796610169491526, 0.5]","[0.8518518518518519, 0.38095238095238093]","[0.8141592920353983, 0.43243243243243246]","[0.8518518518518519, 0.38095238095238093]"
base-efficientnet-b8,2,35,0.5677493143952487,0.9332137733142036,0.8051209103840683,86.7513038362065,0.6269653655854865,0.1772652870658161,0.1741558017284903,0.3758389261744966,0.5843559886997205,0.6889632107023411,0.3294117647058823,0.8317757009345794,0.4375,0.7574468085106383,0.5805937328202309,"[0.7574468085106383, 0.4375]","[0.8317757009345794, 0.32941176470588235]","[0.7928730512249443, 0.37583892617449666]","[0.8317757009345794, 0.32941176470588235]"
base-efficientnet-b8,3,64,0.1371146880218117,0.9916039176000412,0.9422222222222222,6.203027264200117,0.6437770562770563,0.1424252303370408,0.1333993317658705,0.3188405797101449,0.5568002025188279,0.6845637583892618,0.25,0.8666666666666667,0.44,0.7338709677419355,0.5583333333333333,"[0.7338709677419355, 0.44]","[0.8666666666666667, 0.25]","[0.7947598253275109, 0.3188405797101449]","[0.8666666666666667, 0.25]"
base-efficientnet-b8,4,87,0.1490488477371519,0.991365456331083,0.936231884057971,4.760991596408124,0.5995475113122172,0.1231040479016371,0.1152250538070431,0.2900763358778626,0.5479609236800587,0.6950819672131148,0.2261904761904762,0.8733031674208145,0.4042553191489361,0.748062015503876,0.5497468218056454,"[0.748062015503876, 0.40425531914893614]","[0.8733031674208145, 0.2261904761904762]","[0.8058455114822547, 0.2900763358778626]","[0.8733031674208145, 0.2261904761904762]"
base-efficientnet-b8,5,18,2.491008970471146,0.5286630495127742,0.35006435006435,384.5928413811528,0.6066143747218513,0.237427681352915,0.2374276813529149,0.4523809523809524,0.6187138406764575,0.6912751677852349,0.4523809523809524,0.7850467289719626,0.4523809523809524,0.7850467289719626,0.6187138406764575,"[0.7850467289719626, 0.4523809523809524]","[0.7850467289719626, 0.4523809523809524]","[0.7850467289719626, 0.4523809523809524]","[0.7850467289719626, 0.4523809523809524]"
base-resnet,1,3,0.6351312269767125,0.6443726764054226,0.1519607843137254,0.6502119756738345,0.626846340388007,0.1192774631250048,0.111578142911731,0.2900763358778626,0.5458910464037501,0.69,0.2261904761904762,0.8703703703703703,0.4042553191489361,0.7430830039525692,0.5482804232804233,"[0.7430830039525692, 0.40425531914893614]","[0.8703703703703703, 0.2261904761904762]","[0.8017057569296375, 0.2900763358778626]","[0.8703703703703703, 0.2261904761904762]"
base-resnet,2,14,0.3050108999540772,0.9193311470929836,0.8088467614533965,0.8957430552536001,0.5949972512369434,0.0879502655910338,0.0823868130477425,0.2706766917293233,0.5310372705958444,0.6755852842809364,0.2117647058823529,0.8598130841121495,0.375,0.7330677290836654,0.5357888949972512,"[0.7330677290836654, 0.375]","[0.8598130841121495, 0.21176470588235294]","[0.7913978494623656, 0.2706766917293233]","[0.8598130841121495, 0.21176470588235294]"
base-resnet,3,6,0.5559759986232006,0.7759729678736214,0.5279187817258884,0.6941119122925221,0.601948051948052,0.1155191217229685,0.1139657063679926,0.3439490445859872,0.5546624494000552,0.6543624161073825,0.3068181818181818,0.8,0.391304347826087,0.7336244541484717,0.553409090909091,"[0.7336244541484717, 0.391304347826087]","[0.8, 0.3068181818181818]","[0.765375854214123, 0.34394904458598724]","[0.8, 0.3068181818181818]"
base-resnet,4,28,0.0547602651722536,0.9986333074646137,0.9927007299270072,0.9804731703460752,0.5826869209222151,0.1055634200086431,0.1048413852946431,0.3715846994535519,0.5511319281811086,0.6229508196721312,0.4047619047619047,0.7058823529411765,0.3434343434343434,0.7572815533980582,0.5553221288515406,"[0.7572815533980582, 0.3434343434343434]","[0.7058823529411765, 0.40476190476190477]","[0.7306791569086651, 0.37158469945355194]","[0.7058823529411765, 0.40476190476190477]"
base-resnet,5,11,0.329892427930159,0.908528921904217,0.7836990595611285,0.6803939683025315,0.6603526924788606,0.2273643304451202,0.2259062518241784,0.4258064516129032,0.6119961963279936,0.7013422818791947,0.3928571428571428,0.822429906542056,0.4647887323943662,0.775330396475771,0.6076435246995995,"[0.775330396475771, 0.4647887323943662]","[0.822429906542056, 0.39285714285714285]","[0.7981859410430839, 0.4258064516129032]","[0.822429906542056, 0.39285714285714285]"
base-vit,1,7,0.6931475009520849,0.5046685261113141,0.4425697598961713,0.6931474014123281,0.55855930335097,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
base-vit,2,18,0.69314718504317,0.4953183712509393,0.3861490031479538,0.6931471844514211,0.547526113249038,0.0309480719115907,0.0272070222940365,0.3868312757201646,0.4835564829305048,0.5016722408026756,0.5529411764705883,0.4813084112149532,0.2974683544303797,0.7304964539007093,0.5171247938427708,"[0.7304964539007093, 0.2974683544303797]","[0.48130841121495327, 0.5529411764705883]","[0.5802816901408451, 0.3868312757201646]","[0.48130841121495327, 0.5529411764705883]"
