Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9981993136397281,0.9566395663956639,0.8668181818181819,0.41584239945653784,0.41420118343195267,0.56,0.7066666666666668,0.78,0.525,0.8727272727272727,0.6,0.8347826086956521,0.6988636363636364,"[0.8347826086956521, 0.6]","[0.8727272727272727, 0.525]","[0.8533333333333334, 0.56]","[0.8727272727272727, 0.525]"
Gradient Boosting,2,1,0.997405894993707,0.9441340782122905,0.7985390234525183,0.4000661320993194,0.3666666666666667,0.5128205128205128,0.6730769230769231,0.7516339869281046,0.39215686274509803,0.9313725490196079,0.7407407407407407,0.753968253968254,0.6617647058823529,"[0.753968253968254, 0.7407407407407407]","[0.9313725490196079, 0.39215686274509803]","[0.8333333333333334, 0.5128205128205128]","[0.9313725490196079, 0.39215686274509803]"
Gradient Boosting,3,1,0.9976318593141023,0.9510869565217391,0.7808035714285715,0.3326633600589951,0.3241106719367588,0.47058823529411764,0.6590229312063809,0.7631578947368421,0.4,0.8928571428571429,0.5714285714285714,0.8064516129032258,0.6464285714285715,"[0.8064516129032258, 0.5714285714285714]","[0.8928571428571429, 0.4]","[0.847457627118644, 0.47058823529411764]","[0.8928571428571429, 0.4]"
Gradient Boosting,4,1,0.9971194762684124,0.9601100412654745,0.7922448979591836,0.4243067830693909,0.4161950370047889,0.5813953488372093,0.7057920140412461,0.7583892617449665,0.5102040816326531,0.88,0.6756756756756757,0.7857142857142857,0.6951020408163265,"[0.7857142857142857, 0.6756756756756757]","[0.88, 0.5102040816326531]","[0.8301886792452831, 0.5813953488372093]","[0.88, 0.5102040816326531]"
Gradient Boosting,5,1,0.9963893761434766,0.9377593360995851,0.793351302785265,0.4011800108213548,0.38519637462235656,0.5217391304347826,0.6881823405477878,0.777027027027027,0.42857142857142855,0.9150943396226415,0.6666666666666666,0.8016528925619835,0.671832884097035,"[0.8016528925619835, 0.6666666666666666]","[0.9150943396226415, 0.42857142857142855]","[0.8546255506607929, 0.5217391304347826]","[0.9150943396226415, 0.42857142857142855]"
Gradient Boosting,6,1,0.9979371058398658,0.9497964721845319,0.8276353276353278,0.3516352984814293,0.3420221169036335,0.48484848484848486,0.6678628389154705,0.7687074829931972,0.41025641025641024,0.8981481481481481,0.5925925925925926,0.8083333333333333,0.6542022792022792,"[0.8083333333333333, 0.5925925925925926]","[0.8981481481481481, 0.41025641025641024]","[0.8508771929824561, 0.48484848484848486]","[0.8981481481481481, 0.41025641025641024]"
Gradient Boosting,7,1,0.9985087980912615,0.9645203679369251,0.8471898471898472,0.4054442071271579,0.40431868950111693,0.5428571428571428,0.7018633540372671,0.7866666666666666,0.5757575757575758,0.8461538461538461,0.5135135135135135,0.8761061946902655,0.710955710955711,"[0.8761061946902655, 0.5135135135135135]","[0.8461538461538461, 0.5757575757575758]","[0.8608695652173913, 0.5428571428571428]","[0.8461538461538461, 0.5757575757575758]"
Gradient Boosting,8,1,0.9975178787781316,0.9500674763832658,0.8487434803224276,0.41239574651048866,0.4062218794189485,0.5373134328358209,0.7015571493183433,0.7919463087248322,0.47368421052631576,0.9009009009009009,0.6206896551724138,0.8333333333333334,0.6872925557136084,"[0.8333333333333334, 0.6206896551724138]","[0.9009009009009009, 0.47368421052631576]","[0.8658008658008658, 0.5373134328358209]","[0.9009009009009009, 0.47368421052631576]"
Gradient Boosting,9,1,0.9972729972729972,0.9496598639455782,0.7980088495575222,0.38787594082369864,0.3759733036707452,0.5074626865671642,0.6846936863798164,0.7843137254901961,0.425,0.911504424778761,0.6296296296296297,0.8174603174603174,0.6682522123893805,"[0.8174603174603174, 0.6296296296296297]","[0.911504424778761, 0.425]","[0.8619246861924686, 0.5074626865671642]","[0.911504424778761, 0.425]"
Gradient Boosting,10,1,0.9986984744143135,0.9624478442280946,0.7985455974842768,0.3802177964981824,0.360240446543581,0.5348837209302325,0.6731022378236069,0.7315436241610739,0.4339622641509434,0.8958333333333334,0.696969696969697,0.7413793103448276,0.6648977987421384,"[0.7413793103448276, 0.696969696969697]","[0.8958333333333334, 0.4339622641509434]","[0.8113207547169812, 0.5348837209302325]","[0.8958333333333334, 0.4339622641509434]"
Gradient Boosting,11,2,0.9983151792758832,0.9567642956764296,0.7882749059219647,0.36355149142741927,0.3434011818778726,0.5121951219512195,0.6643544417095547,0.7333333333333333,0.4117647058823529,0.898989898989899,0.6774193548387096,0.7478991596638656,0.655377302436126,"[0.7478991596638656, 0.6774193548387096]","[0.898989898989899, 0.4117647058823529]","[0.8165137614678899, 0.5121951219512195]","[0.898989898989899, 0.4117647058823529]"
Gradient Boosting,12,2,0.9978073702381336,0.9512195121951219,0.8155523944997629,0.3395267028768777,0.3298941798941799,0.46875,0.6617254273504274,0.7718120805369127,0.39473684210526316,0.9009009009009009,0.5769230769230769,0.8130081300813008,0.647818871503082,"[0.8130081300813008, 0.5769230769230769]","[0.9009009009009009, 0.39473684210526316]","[0.8547008547008547, 0.46875]","[0.9009009009009009, 0.39473684210526316]"
Gradient Boosting,13,2,0.9975339555353214,0.9536784741144414,0.7471730317900577,0.4059556690473976,0.403052064631957,0.5569620253164557,0.70070323488045,0.7697368421052632,0.5116279069767442,0.8715596330275229,0.6111111111111112,0.8189655172413793,0.6915937700021335,"[0.8189655172413793, 0.6111111111111112]","[0.8715596330275229, 0.5116279069767442]","[0.8444444444444444, 0.5569620253164557]","[0.8715596330275229, 0.5116279069767442]"
Gradient Boosting,14,2,0.9974973999851819,0.9596662030598053,0.853806907378336,0.5097310588289008,0.48231233822260566,0.6190476190476191,0.7354497354497355,0.7866666666666666,0.5,0.9387755102040817,0.8125,0.7796610169491526,0.7193877551020409,"[0.7796610169491526, 0.8125]","[0.9387755102040817, 0.5]","[0.8518518518518519, 0.6190476190476191]","[0.9387755102040817, 0.5]"
Gradient Boosting,15,2,0.9990266970938385,0.9622377622377623,0.8116600790513834,0.3929062292915622,0.36308492201039866,0.5348837209302325,0.67128801431127,0.7278911564625851,0.41818181818181815,0.9130434782608695,0.7419354838709677,0.7241379310344828,0.6656126482213438,"[0.7241379310344828, 0.7419354838709677]","[0.9130434782608695, 0.41818181818181815]","[0.8076923076923077, 0.5348837209302325]","[0.9130434782608695, 0.41818181818181815]"
Gradient Boosting,16,2,0.9973691770764614,0.9504685408299867,0.8006792058516197,0.4525632699759349,0.4459382151029748,0.5517241379310345,0.7216954022988507,0.825503355704698,0.48484848484848486,0.9224137931034483,0.64,0.8629032258064516,0.7036311389759666,"[0.8629032258064516, 0.64]","[0.9224137931034483, 0.48484848484848486]","[0.8916666666666667, 0.5517241379310345]","[0.9224137931034483, 0.48484848484848486]"
Gradient Boosting,17,2,0.9974715344591412,0.9534246575342465,0.8049095607235143,0.4119931759991553,0.4056494558925676,0.5526315789473685,0.7010945505356312,0.7748344370860927,0.4883720930232558,0.8888888888888888,0.6363636363636364,0.8135593220338984,0.6886304909560723,"[0.8135593220338984, 0.6363636363636364]","[0.8888888888888888, 0.4883720930232558]","[0.8495575221238938, 0.5526315789473685]","[0.8888888888888888, 0.4883720930232558]"
Gradient Boosting,18,2,0.9963486457787204,0.9351351351351351,0.7966976264189887,0.35239609324728294,0.35185185185185186,0.5070422535211268,0.6757433489827855,0.7635135135135135,0.5294117647058824,0.8333333333333334,0.4864864864864865,0.8558558558558559,0.6813725490196079,"[0.8558558558558559, 0.4864864864864865]","[0.8333333333333334, 0.5294117647058824]","[0.8444444444444444, 0.5070422535211268]","[0.8333333333333334, 0.5294117647058824]"
Gradient Boosting,19,2,0.9972006330417439,0.9506849315068493,0.83016855131214,0.4197660391738251,0.41578114401989597,0.5641025641025641,0.706830043113229,0.7763157894736842,0.5116279069767442,0.8807339449541285,0.6285714285714286,0.8205128205128205,0.6961809259654363,"[0.8205128205128205, 0.6285714285714286]","[0.8807339449541285, 0.5116279069767442]","[0.8495575221238938, 0.5641025641025641]","[0.8807339449541285, 0.5116279069767442]"
Gradient Boosting,20,2,0.9975930748868586,0.9588313413014609,0.8240387063916477,0.3903470580525052,0.37613603048959243,0.48148148148148145,0.6847407407407408,0.8157894736842105,0.3939393939393939,0.9327731092436975,0.6190476190476191,0.8473282442748091,0.6633562515915457,"[0.8473282442748091, 0.6190476190476191]","[0.9327731092436975, 0.3939393939393939]","[0.888, 0.48148148148148145]","[0.9327731092436975, 0.3939393939393939]"
Gradient Boosting,21,3,0.9977328685307525,0.9561643835616438,0.8458404802744426,0.5752237921558354,0.5599624501290776,0.6666666666666666,0.7777777777777777,0.8333333333333334,0.5681818181818182,0.9433962264150944,0.8064516129032258,0.8403361344537815,0.7557890222984562,"[0.8403361344537815, 0.8064516129032258]","[0.9433962264150944, 0.5681818181818182]","[0.8888888888888888, 0.6666666666666666]","[0.9433962264150944, 0.5681818181818182]"
Gradient Boosting,22,3,0.9985764950868745,0.966078697421981,0.7672047578589635,0.27127186398078623,0.25811863391252254,0.4225352112676056,0.6225230168892141,0.7284768211920529,0.3409090909090909,0.8878504672897196,0.5555555555555556,0.7661290322580645,0.6143797790994052,"[0.7661290322580645, 0.5555555555555556]","[0.8878504672897196, 0.3409090909090909]","[0.8225108225108225, 0.4225352112676056]","[0.8878504672897196, 0.3409090909090909]"
Gradient Boosting,23,3,0.9972511879084702,0.9496598639455782,0.7206203582350371,0.2797138879390445,0.2761604115515024,0.4533333333333333,0.6363582966226138,0.7284768211920529,0.40476190476190477,0.8532110091743119,0.5151515151515151,0.788135593220339,0.6289864569681083,"[0.788135593220339, 0.5151515151515151]","[0.8532110091743119, 0.40476190476190477]","[0.8193832599118943, 0.4533333333333333]","[0.8532110091743119, 0.40476190476190477]"
Gradient Boosting,24,3,0.9967184815445121,0.9504132231404959,0.8552188552188552,0.48860967021831986,0.4869337979094076,0.6265060240963856,0.743117265441858,0.7960526315789473,0.5909090909090909,0.8796296296296297,0.6666666666666666,0.8407079646017699,0.7352693602693603,"[0.8407079646017699, 0.6666666666666666]","[0.8796296296296297, 0.5909090909090909]","[0.8597285067873304, 0.6265060240963856]","[0.8796296296296297, 0.5909090909090909]"
Gradient Boosting,25,3,0.9989657210401891,0.9671232876712329,0.7953239548246482,0.45340688664249135,0.41259377131166175,0.5405405405405406,0.6963572267920094,0.7763157894736842,0.40816326530612246,0.9514563106796117,0.8,0.7716535433070866,0.6798097879928671,"[0.7716535433070866, 0.8]","[0.9514563106796117, 0.40816326530612246]","[0.8521739130434782, 0.5405405405405406]","[0.9514563106796117, 0.40816326530612246]"
Gradient Boosting,26,3,0.9972106905440239,0.9546079779917469,0.8327659574468085,0.30994174872719277,0.29959325973271356,0.4810126582278481,0.6451574919046217,0.7210884353741497,0.40425531914893614,0.87,0.59375,0.7565217391304347,0.637127659574468,"[0.7565217391304347, 0.59375]","[0.87, 0.40425531914893614]","[0.8093023255813954, 0.4810126582278481]","[0.87, 0.40425531914893614]"
Gradient Boosting,27,3,0.9970943728487953,0.9545454545454546,0.8320802005012531,0.4473624518980003,0.44417799094058086,0.5625,0.7214209401709402,0.8120805369127517,0.5142857142857142,0.9035087719298246,0.6206896551724138,0.8583333333333333,0.7088972431077694,"[0.8583333333333333, 0.6206896551724138]","[0.9035087719298246, 0.5142857142857142]","[0.8803418803418803, 0.5625]","[0.9035087719298246, 0.5142857142857142]"
