,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
adc_log-sigma-2-mm-3D_glszm_ZoneEntropy,0.5807759233926129,<,6.266747099606074,0.5562790697674419,0.5576470588235294,mann-whitney U-test,1.051515874144085e-06
adc_square_gldm_SmallDependenceLowGrayLevelEmphasis,0.5759890560875514,>,0.01914281593823,0.5623529411764706,0.5627906976744186,mann-whitney U-test,4.380873084847104e-06
adc_square_glrlm_ShortRunLowGrayLevelEmphasis,0.571167168262654,>,0.0777967585206913,0.5505882352941176,0.5497674418604651,mann-whitney U-test,1.7000976831332487e-05
adc_original_glszm_ZoneEntropy,0.5665400820793434,<,6.716145440765196,0.5506976744186046,0.5529411764705883,mann-whitney U-test,5.7858067735029236e-05
t2_original_shape_MajorAxisLength,0.564437756497948,<,221.57845879244445,0.6,0.5082352941176471,mann-whitney U-test,8.788896519132364e-05
t2_original_shape_MinorAxisLength,0.5611294117647059,<,221.57845879244363,0.5125581395348837,0.6047058823529412,mann-whitney U-test,0.00017927195222437763
t2_wavelet-HH_gldm_DependenceNonUniformityNormalized,0.5613811217510261,<,0.245270477624811,0.5451162790697675,0.5458823529411765,mann-whitney U-test,0.00020759417595033833
t2_wavelet2-HH_gldm_DependenceNonUniformityNormalized,0.5605690834473325,<,0.2298582634884418,0.5553488372093023,0.5529411764705883,mann-whitney U-test,0.0002517093311415111
adc_square_glszm_LowGrayLevelZoneEmphasis,0.5603786593707251,>,0.0647961762368084,0.5529411764705883,0.5525581395348838,mann-whitney U-test,0.0002632570373049991
t2_original_shape_Maximum3DDiameter,0.5597756497948017,<,279.28672266702927,0.5441860465116279,0.5458823529411765,mann-whitney U-test,0.00030318584366940943
adc_wavelet-HH_gldm_GrayLevelNonUniformity,0.5584941176470588,<,103992.7021682957,0.5488372093023256,0.548235294117647,mann-whitney U-test,0.0004076040493844776
t2_log-sigma-3-mm-3D_gldm_DependenceVariance,0.5581001367989056,<,4.034661442884921,0.5479069767441861,0.548235294117647,mann-whitney U-test,0.00044592069845023497
adc_wavelet2-LH_glszm_ZoneEntropy,0.55629439124487,<,6.064453448202127,0.5386046511627907,0.5388235294117647,mann-whitney U-test,0.0006685371392723289
t2_wavelet2-LL_glcm_InverseVariance,0.5553160054719563,<,0.2938117230062769,0.5395348837209303,0.5435294117647058,mann-whitney U-test,0.0008286682858577531
adc_wavelet2-HL_glszm_ZoneEntropy,0.555158413132695,<,6.103843165815833,0.5293023255813953,0.5294117647058824,mann-whitney U-test,0.000857567411188142
t2_wavelet2-HL_glrlm_ShortRunLowGrayLevelEmphasis,0.5548826265389877,>,0.0006921305671207,0.5317647058823529,0.532093023255814,mann-whitney U-test,0.0009104004795025294
t2_wavelet-HH_gldm_DependenceVariance,0.5548060191518468,>,1.4821471578998369,0.5505882352941176,0.5488372093023256,mann-whitney U-test,0.0009256028012412596
t2_log-sigma-0-6-mm-3D_ngtdm_Coarseness,0.5547644322845418,>,3.545478264095733e-06,0.5341176470588235,0.5330232558139535,mann-whitney U-test,0.0009339536622622228
t2_log-sigma-3-mm-3D_glszm_GrayLevelNonUniformity,0.5547359781121751,<,2574.267917133259,0.546046511627907,0.5458823529411765,mann-whitney U-test,0.0009397075691853072
t2_wavelet2-LL_firstorder_Mean,0.5546746922024623,<,0.7216631447192654,0.5479069767441861,0.548235294117647,mann-whitney U-test,0.0009522123106263526
t2_wavelet-HH_gldm_DependenceEntropy,0.5546068399452804,>,3.3376574862001376,0.5505882352941176,0.5506976744186047,mann-whitney U-test,0.0009662365305737232
t2_wavelet2-LL_glrlm_GrayLevelNonUniformity,0.5544448700410396,<,39989.83624333528,0.5404651162790698,0.5388235294117647,mann-whitney U-test,0.0010004906009212788
adc_wavelet2-LL_firstorder_MeanAbsoluteDeviation,0.554433926128591,<,2045.1214729404053,0.546046511627907,0.548235294117647,mann-whitney U-test,0.0010028451370391598
t2_original_glszm_ZoneEntropy,0.5544076607387141,<,7.490028156820386,0.5423255813953488,0.5435294117647058,mann-whitney U-test,0.0010085169682234778
adc_wavelet2-LL_firstorder_RobustMeanAbsoluteDeviation,0.5542391244870041,<,1602.1302010405743,0.5506976744186046,0.5529411764705883,mann-whitney U-test,0.001045623581808851
adc_square_glcm_Imc1,0.5540027359781121,>,-0.328968128847056,0.5458823529411765,0.5441860465116279,mann-whitney U-test,0.0010998006696333164
adc_wavelet-HL_glrlm_GrayLevelNonUniformity,0.5537160054719562,<,40512.456888509936,0.5562790697674419,0.5529411764705883,mann-whitney U-test,0.001168996520968842
adc_original_firstorder_RobustMeanAbsoluteDeviation,0.5536875512995896,<,422.7682824048189,0.5534883720930233,0.5529411764705883,mann-whitney U-test,0.0011760783372407055
t2_original_firstorder_RootMeanSquared,0.5536547195622435,<,316.22827129743007,0.5348837209302325,0.5341176470588236,mann-whitney U-test,0.0011842989141979635
t2_wavelet2-HL_glszm_SmallAreaLowGrayLevelEmphasis,0.5534577291381669,>,0.0005801473411643,0.5317647058823529,0.532093023255814,mann-whitney U-test,0.0012347475926108367
adc_wavelet-LH_glrlm_GrayLevelNonUniformity,0.5532344733242134,<,32694.650865325795,0.5432558139534883,0.5435294117647058,mann-whitney U-test,0.0012943179024764028
adc_wavelet-HH_glrlm_GrayLevelNonUniformity,0.552952120383037,<,59773.530042546736,0.5469767441860465,0.5458823529411765,mann-whitney U-test,0.0013734548320864925
dwi_wavelet-HH_gldm_GrayLevelNonUniformity,0.5529061559507524,<,157712.05398565507,0.5525581395348838,0.5529411764705883,mann-whitney U-test,0.0013867521817476853
t2_wavelet2-HH_gldm_DependenceNonUniformity,0.5526938440492476,<,1012179.8505473804,0.5395348837209303,0.5364705882352941,mann-whitney U-test,0.0014497278379358685
