,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
logarithm_gldm_GrayLevelNonUniformity,0.6801444596443229,<,906.4738067520371,0.6446511627906977,0.6447058823529412,mann-whitney U-test,1.3261809625196277e-27
logarithm_glrlm_GrayLevelNonUniformity,0.6772071135430916,<,460.6383394936153,0.6316279069767442,0.6329411764705882,mann-whitney U-test,9.165498293433085e-27
squareroot_glrlm_GrayLevelNonUniformity,0.6744383036935704,<,275.453077696111,0.641860465116279,0.6423529411764706,mann-whitney U-test,5.509485638628163e-26
wavelet2-LL_ngtdm_Coarseness,0.674341997264022,>,0.0045345188974639,0.6258823529411764,0.6251162790697675,mann-whitney U-test,5.861221607031496e-26
squareroot_gldm_GrayLevelNonUniformity,0.6736175102599179,<,359.5274878218511,0.6316279069767442,0.6305882352941177,mann-whitney U-test,9.326303223264928e-26
original_ngtdm_Coarseness,0.6727529411764706,>,0.0030878482949403,0.6305882352941177,0.6316279069767442,mann-whitney U-test,1.6194002129284164e-25
squareroot_ngtdm_Coarseness,0.6724727770177839,>,0.0030089948578845,0.6258823529411764,0.6288372093023256,mann-whitney U-test,1.9353478461921761e-25
logarithm_ngtdm_Coarseness,0.6712536251709987,>,0.002485199969668,0.6164705882352941,0.6148837209302326,mann-whitney U-test,4.189420535866891e-25
square_ngtdm_Coarseness,0.6708902872777018,>,0.002958008215866,0.6235294117647059,0.626046511627907,mann-whitney U-test,5.268149084096074e-25
original_glszm_GrayLevelNonUniformity,0.6695945280437756,<,127.69484083424808,0.6288372093023256,0.628235294117647,mann-whitney U-test,1.1880265826512843e-24
wavelet2-LL_glszm_GrayLevelNonUniformity,0.6690626538987688,<,59.72409203270584,0.6316279069767442,0.6329411764705882,mann-whitney U-test,1.655876934856655e-24
original_glrlm_GrayLevelNonUniformity,0.6685701778385773,<,229.3143269873848,0.6362790697674419,0.6376470588235295,mann-whitney U-test,2.2498410943594086e-24
squareroot_glszm_GrayLevelNonUniformity,0.667553488372093,<,131.58305312710155,0.6251162790697674,0.628235294117647,mann-whitney U-test,4.2244738491979226e-24
wavelet2-LL_glrlm_GrayLevelNonUniformity,0.6670161422708618,<,71.40850133278084,0.6362790697674419,0.6352941176470588,mann-whitney U-test,5.884803560072405e-24
original_gldm_GrayLevelNonUniformity,0.6665389876880985,<,280.86635277073526,0.6325581395348837,0.6352941176470588,mann-whitney U-test,7.891964241284768e-24
original_shape_SurfaceVolumeRatio,0.6664536251709986,>,0.159402575060913,0.611764705882353,0.6120930232558139,mann-whitney U-test,8.316653889990509e-24
wavelet2-LL_gldm_GrayLevelNonUniformity,0.6662829001367989,<,76.3007310310058,0.6334883720930232,0.6352941176470588,mann-whitney U-test,9.235093862262172e-24
square_glszm_GrayLevelNonUniformity,0.6647047879616963,<,127.28752642706132,0.6139534883720931,0.6141176470588235,mann-whitney U-test,2.4198512056404203e-23
wavelet2-LL_glcm_Imc1,0.6591124487004104,<,-0.2417627465154846,0.6176744186046511,0.6164705882352941,mann-whitney U-test,6.835727386811661e-22
original_shape_VoxelVolume,0.6589767441860466,<,48532.21235798221,0.6046511627906976,0.6047058823529412,mann-whitney U-test,7.402602426008469e-22
