,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
square_ngtdm_Strength,0.7317060196307228,>,0.471734819329476,0.6647058823529411,0.6662777129521587,mann-whitney U-test,5.968966461415778e-36
exponential_glszm_GrayLevelNonUniformityNormalized,0.7119414510261514,<,0.3571428571428571,0.6709451575262544,0.6676470588235295,mann-whitney U-test,1.2530784528873355e-30
exponential_glcm_Imc1,0.7094721669297824,<,-0.2445902425651485,0.661610268378063,0.6647058823529413,mann-whitney U-test,5.873207391104313e-30
exponential_ngtdm_Strength,0.7085627016267416,>,1.056263574487093,0.6764705882352942,0.6756126021003501,mann-whitney U-test,1.0327174201069393e-29
exponential_glszm_GrayLevelVariance,0.7053040702862241,>,1.3695722327799489,0.6705882352941176,0.6709451575262544,mann-whitney U-test,7.647503305365602e-29
log-sigma-3-mm-3D_firstorder_Skewness,0.7045404626261239,<,-0.7600527676009396,0.6522753792298717,0.6558823529411765,mann-whitney U-test,2.188798926733258e-28
exponential_glcm_ClusterProminence,0.7012972750360353,>,3.220863569712149,0.6676470588235294,0.6674445740956827,mann-whitney U-test,8.597955679013257e-28
exponential_glszm_HighGrayLevelZoneEmphasis,0.7002694076463725,>,6.0,0.6705882352941176,0.6756126021003501,mann-whitney U-test,1.5870425554119734e-27
exponential_glrlm_GrayLevelVariance,0.6999519527764431,>,0.3636081056342546,0.6617647058823529,0.661610268378063,mann-whitney U-test,1.9170743326115284e-27
exponential_glcm_ClusterShade,0.6998901777747272,>,0.5521536829774214,0.6617647058823529,0.662777129521587,mann-whitney U-test,1.988724249509938e-27
exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0.6997460361040565,>,0.0576870571339421,0.6529411764705882,0.6569428238039674,mann-whitney U-test,3.791404804446582e-27
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.6988811860800329,>,3.461987436232664,0.6617647058823529,0.6592765460910152,mann-whitney U-test,6.297221269686013e-27
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.6988811860800329,>,0.7869480789417909,0.6558823529411765,0.6569428238039674,mann-whitney U-test,6.297221269686013e-27
square_ngtdm_Busyness,0.6979803006383417,<,13.40534665493679,0.6406067677946324,0.6411764705882352,mann-whitney U-test,1.0655998650533146e-26
exponential_firstorder_Maximum,0.6959811929439219,>,212.26356970676227,0.6558823529411765,0.6592765460910152,mann-whitney U-test,3.3974629578776383e-26
exponential_firstorder_Range,0.6959537373876038,>,208.492220863054,0.6558823529411765,0.6546091015169195,mann-whitney U-test,3.451711189913635e-26
exponential_gldm_GrayLevelVariance,0.6936268789896356,>,0.0416830833028957,0.6558823529411765,0.6546091015169195,mann-whitney U-test,7.746957633361633e-26
exponential_glrlm_HighGrayLevelRunEmphasis,0.6930331525842541,>,1.7338013734686035,0.6558823529411765,0.6557759626604434,mann-whitney U-test,1.089743723010865e-25
exponential_glcm_ClusterTendency,0.6929404900816802,>,0.1139327150463096,0.6529411764705882,0.6546091015169195,mann-whitney U-test,1.1492445446627254e-25
log-sigma-3-mm-3D_firstorder_Kurtosis,0.6934793053744251,>,4.46285916141023,0.6558823529411765,0.6557759626604434,mann-whitney U-test,1.426195887409566e-25
square_firstorder_Skewness,0.6929576498043791,>,2.403132962444045,0.6647058823529411,0.661610268378063,mann-whitney U-test,1.9190741996217623e-25
wavelet2-LL_ngtdm_Strength,0.6926178872949413,>,4.873006282692489,0.6441176470588236,0.6417736289381564,mann-whitney U-test,2.327398206412229e-25
