,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
squareroot_glrlm_RunLengthNonUniformity,0.6693355755370993,<,37503.19466139905,0.6231038506417736,0.6235294117647059,mann-whitney U-test,5.788733695924587e-20
logarithm_glrlm_RunLengthNonUniformity,0.6686938019081612,<,35498.1614242819,0.6207701283547258,0.6205882352941177,mann-whitney U-test,7.97416216006355e-20
squareroot_glszm_GrayLevelNonUniformity,0.6676745143798477,<,1120.4246315046553,0.6137689614935823,0.6176470588235294,mann-whitney U-test,1.3229700031550922e-19
logarithm_glszm_GrayLevelNonUniformity,0.6675372365982566,<,958.9474522292994,0.6114352392065344,0.611764705882353,mann-whitney U-test,1.4159957550551278e-19
squareroot_glszm_SizeZoneNonUniformity,0.6665659962934999,<,10339.369291308789,0.6347724620770129,0.6352941176470588,mann-whitney U-test,2.2865698629096467e-19
logarithm_gldm_DependenceNonUniformity,0.6662330976731416,<,13719.05648487626,0.6149358226371062,0.6147058823529412,mann-whitney U-test,2.6930707679043674e-19
squareroot_gldm_DependenceNonUniformity,0.6658212643283685,<,14823.568764830914,0.6266044340723453,0.6264705882352941,mann-whitney U-test,3.2958616978850595e-19
original_glszm_GrayLevelNonUniformity,0.6645583087377308,<,1007.2359125077714,0.6149358226371062,0.6176470588235294,mann-whitney U-test,6.104579590741186e-19
original_shape_SurfaceVolumeRatio,0.6629075434140984,>,0.1785297311445292,0.6147058823529412,0.6137689614935823,mann-whitney U-test,1.3568361698928917e-18
wavelet2-LL_glszm_SizeZoneNonUniformity,0.6627016267417118,<,26530.13354141121,0.6161026837806302,0.6147058823529412,mann-whitney U-test,1.4981552159882628e-18
original_glrlm_RunLengthNonUniformity,0.6622348822843023,<,26339.03721735008,0.6196032672112018,0.6205882352941177,mann-whitney U-test,1.8745348912748777e-18
wavelet2-LL_gldm_DependenceNonUniformity,0.6605635252934313,<,27001.453899033804,0.6126021003500584,0.611764705882353,mann-whitney U-test,4.161094316396241e-18
wavelet2-HL_glrlm_RunLengthNonUniformity,0.660199739172215,<,23870.33041521472,0.6091015169194866,0.6058823529411765,mann-whitney U-test,4.944501444950942e-18
wavelet-HL_glrlm_RunLengthNonUniformity,0.6600075502779875,<,15367.939543407854,0.6266044340723453,0.6264705882352941,mann-whitney U-test,5.415434834084506e-18
logarithm_glszm_SizeZoneNonUniformity,0.6584460155123892,<,12953.252552601532,0.6207701283547258,0.6205882352941177,mann-whitney U-test,1.1296524519839933e-17
wavelet2-HL_glszm_GrayLevelNonUniformity,0.658312169675338,<,1922.2661168153509,0.6126021003500584,0.611764705882353,mann-whitney U-test,1.2027417834708267e-17
log-sigma-0-6-mm-3D_glrlm_RunLengthNonUniformity,0.657914064108724,<,13275.061468290904,0.617269544924154,0.6205882352941177,mann-whitney U-test,1.4488532135057675e-17
wavelet2-LL_glrlm_RunLengthNonUniformity,0.6573031779806437,<,58885.45964722617,0.6184364060676779,0.6147058823529412,mann-whitney U-test,1.9262147204648865e-17
original_gldm_DependenceNonUniformity,0.6565412862928135,<,12829.612658510698,0.6079346557759626,0.6088235294117648,mann-whitney U-test,2.7434894230871248e-17
squareroot_ngtdm_Coarseness,0.6562838904523303,>,0.0002938493961279,0.6235294117647059,0.6277712952158694,mann-whitney U-test,3.0905129905900525e-17
wavelet-HL_glszm_GrayLevelNonUniformity,0.6562186835060745,<,1270.361008784358,0.6289381563593932,0.6323529411764706,mann-whitney U-test,3.185089637465702e-17
log-sigma-2-mm-3D_glrlm_GrayLevelNonUniformity,0.6561466126707393,<,3400.972274679667,0.6021003500583431,0.6029411764705883,mann-whitney U-test,3.292945665308399e-17
original_shape_LeastAxisLength,0.6559990390555288,<,34.50137899091786,0.6056009334889149,0.6058823529411765,mann-whitney U-test,3.525159805738554e-17
log-sigma-0-6-mm-3D_glszm_GrayLevelNonUniformity,0.6559647196101311,<,911.3821548821549,0.6196032672112018,0.6176470588235294,mann-whitney U-test,3.581436762618865e-17
wavelet2-LL_ngtdm_Coarseness,0.6558171459949208,>,0.0005684751478078,0.6264705882352941,0.6242707117852975,mann-whitney U-test,3.833698458789145e-17
logarithm_ngtdm_Coarseness,0.6554156084837668,>,0.0002092619262514,0.6147058823529412,0.6149358226371062,mann-whitney U-test,4.612246763549788e-17
wavelet2-HL_gldm_DependenceNonUniformity,0.6535898139886059,<,12771.30589635482,0.6114352392065344,0.611764705882353,mann-whitney U-test,1.0628434449816197e-16
wavelet2-LH_glrlm_RunLengthNonUniformity,0.6531985723110715,<,23150.450054881727,0.6161026837806302,0.6147058823529412,mann-whitney U-test,1.269455889902116e-16
original_firstorder_TotalEnergy,0.6531265014757361,<,4800569688.274492,0.6102683780630105,0.6088235294117648,mann-whitney U-test,1.3116207195796013e-16
wavelet2-HH_firstorder_TotalEnergy,0.6531265014757361,<,4273626057.8637614,0.6009334889148191,0.6029411764705883,mann-whitney U-test,1.3116207195796013e-16
